question,answer,model_answer,ref,retrived_doc,doc_id,dial_id
Can I get new plates?,"Yes, bring a copy of MV-78B to apply for new plates.",Report or Replace Lost or Stolen Plates [1].,"[{'sp_id': '44', 'label': 'solution'}]","How can I report stolen plates? 
Ask the police to complete a' Report of Lost or Stolen Motor Vehicle Items' form MV-78B for your stolen plates. The form is different from the stolen vehicle report , and it's available only from police agencies, not from DMV. Make a copy of the MV-78B report for your records, and bring the original form to a DMV office to surrender your registration. For further information , see Report or Replace Lost or Stolen Plates [1].",Stolen and recovered vehicles#3_0,774a40ce2a5edd3b402199f4fc5d52ca
yeah,"Okay, you will have to contact a surety insurance company. Make sure that the business name and mailing address on the bond exactly match the business name and mailing address on your DMV facility license. Also, make sure that you write your Facility Number on the bond. ",no,"[{'sp_id': '28', 'label': 'solution'}, {'sp_id': '29', 'label': 'solution'}, {'sp_id': '30', 'label': 'solution'}]","Selling price on Retail Certificates of Sale (MV-50) if I sell a vehicle wholesale 
The selling price is not required on form MV-50 when a vehicle is sold wholesale. 

Inspection required out-of-state customer 
A New York State inspection is not required for a vehicle registered in another state.",General information for dealers and transporters#3_0,344912b5bb8a528ddc4e5c52d1b7cfa4
what do i need for additional tests?,have a valid learner permit or driver license,a credit card,"[{'sp_id': '72', 'label': 'solution'}, {'sp_id': '74', 'label': 'solution'}, {'sp_id': '75', 'label': 'solution'}]",How to pay for additional tests,Schedule and take a road test#1_0,b5818642ef241562bd4d89ae2f3d292b
What if I don't have a driver's license?,"Although you do not have a driver license, you are still required to pay the driver responsibility assessment.",(iv),"[{'sp_id': '12', 'label': 'solution'}]","must pay the driver responsibility assessment whether you have a driver license issued by New York State, another jurisdiction or if you do not have a driver license.",Pay driver responsibility assessment#1_0,72c2f359094066c0c0168901202f9c85
"No, neither.",Have you attended any hearing?,(iii).,"[{'sp_id': '34', 'label': 'precondition'}]","do not have to testify but you may if you wish. You cannot be found guilty just because you do not testify. When all of the evidence and testimony have been given , the ALJ will decide whether or not you are guilty. That decision will be based only on the evidence and testimony presented at the hearing and what the law states. If the ALJ decides the charge against you was not proven by clear and convincing evidence , you will be found not guilty. If the charge is proven and you are found guilty",Traffic Violations Bureau#3_0,21ce6a9c9911d1e9019df356167021a2
Is it possible to order plates on the phone?,"Yes, it is possible to order custom plates online at 1-518-402-4838 Monday through Friday 8 a.m. to 4 p.m.; but online is a lot faster.",Yes,"[{'sp_id': '41', 'label': 'solution'}, {'sp_id': '42', 'label': 'solution'}, {'sp_id': '43', 'label': 'solution'}]","Order by mail 
To order picture or professional plates by mail , use the Application for Custom Plates pdf [14] CP-30. Mail the completed form and your payment to : NYS DMV Custom Plates UnitP.O. Box 2775Albany , NY 12220 

Order by phone 
You can order by phone, however it s faster and easier to do it online. Call the Custom Plates Unit at 1 - 518 - 402 - 4838. Office hours are 8:00am - 4:00pm, Monday through Friday.",Order picture and professional plates#1_0,8a08cabbf4b4c61381de4ef3c47ef32d
How do you get an ignition interlock device installed?,The court will give you a list of vendors who install them.,You need to have a vehicle inspected by a certified technician.,"[{'sp_id': '28', 'label': 'solution'}, {'sp_id': '29', 'label': 'solution'}]","What is an ""ignition interlock device""?",Leandra's Law & ignition interlock devices#3_0,d9510bd14dcdf46fba96dc55338e2c2d
"can you give me details of Vehicle registration and title
",do you want to change your name?,,"[{'sp_id': '75', 'label': 'precondition'}]",When you will get your new registration and title,How to change information on DMV documents#3_0,af78ef55e4fafd53a3f24227d5a8ec9f
Hello I need information about How to Verify a Title or Lien Status,do you want to do it online?,"Hello, I need information about How to Verify a Title or Lien Status","[{'sp_id': '2', 'label': 'precondition'}]",How to check a title or lien status[1],How to check a title or lien status#1_0,da1560de700a666763b6c2246bd58e02
"yes, how long will the restriction be?",it remains in effect for 5 years from the date you receive your drivers licence.,yes,"[{'sp_id': '31', 'label': 'solution'}]","How long will the restriction be in effect? Is there any way I can have the restriction removed early? 
If your revocation was due to an alcohol - related incident , the restriction remains in effect for five years from the date you receive your driver license or permit. If your revocation was not due to an alcohol related incident , the restriction remains in effect for two years from the date you receive your driver license or permit. The restriction cannot be removed earlier.",About problem driver restrictions#3_0,60bc244ff9939fb6824d60b85c8f58bf
Can you help me with how to avoid the lapse of my insurance?,DMV is always in contact with insurance companies to electronically monitor your insurance coverage and comply with the New York State requirements.,Yes,"[{'sp_id': '24', 'label': 'solution'}, {'sp_id': '25', 'label': 'solution'}, {'sp_id': '26', 'label': 'solution'}]","possible mail correspondence can reach you. Also , turning in your plates is important to avoid an insurance lapse.",Top 5 DMV Mistakes and How to Avoid Them#3_0,15aa88cc47d6c698af75ce5a00cc7c04
Can you please explain the MyDMV website to me? I just signed in and I have some questions about it.,Of course. Have you been redirected to the 'Welcome to MyDMV' page ?,The website is a website that allows you to pay your taxes online.,"[{'sp_id': '2', 'label': 'precondition'}]",Signing in to MyDMV[1],Signing in to MyDMV#1_0,5d1d69365f2577a554f268daccdc8a40
Can I request an in-person hearing with the DMV?,you may request an in - person DMV hearing or you may request a hearing by affidavit this is a hearing on paper . The Notice of Registration Suspension provides instructions about how to submit the affidavit to DMV ,no,"[{'sp_id': '20', 'label': 'solution'}, {'sp_id': '21', 'label': 'solution'}]",What is the purpose of a DMV hearing?,Registration suspensions for failure to pay tolls#3_0,789487b93de1c68dd94b84e377d8451a
And what if I already had personalized plates?,"If you had custom license plates or custom license plates, your new registration documents will list your license plate numbers. The DMV will mail you new personalized or personalized plates for new passengers.",iii.,"[{'sp_id': '45', 'label': 'solution'}, {'sp_id': '46', 'label': 'solution'}]",registration documents will list the numbers from your plates. The DMV will send you new passenger custom or personalized plates by mail.,Register a pick-up truck as 'passenger' class vehicles#1_0,8299bfaed5aab6383c40b83f5d0ac9c0
And for the use tax for counties outside of New York City?,You can see the use taxes and supplemental fees for all original registrations and renewals on the chart. The sales tax depends on the purchase price and your locality. You can go to the Department of Taxation and Finance website to see the current sales tax rates per jurisdiction.,a).,"[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}]",County use tax chart for counties outside of New York City,"Commercial vehicle registration fees, vehicle use taxes and supplemental fees#3_0",2584ea78406f561ad23b66abcd9a7cee
What are the renewal fees for CDLs? ,The fees for the photo document and the supplemental Metropolitan Commuter Transportation District are the basic fees.  There could possibly be additional fees. ,The renewal fees for CDLs are between $45 and $90.,"[{'sp_id': '39', 'label': 'solution'}]",What you need to renew a CDL,Renew a CDL#1_0,04ecd94d385a3b4759567a9aa0100e81
"By the way, do I need to include buyer and seller information with the title?","Yes. The title must have completed buyer and seller information, both the leasing company and the buyer must provide their signatures, dates of transfer, and addresses.",yes,"[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]","Bring a completed Vehicle Registration / Title Application [1] MV-82 or Application for Title [2] MV-82TON if you don't have you can provide other kinds of proof [3 ] proof of identity such as a NYS License, Permit, or Non - Driver ID card must be current or not expired for more than 2 years - the New York State or out - of - state title with completed buyer and seller information odometer and damage disclosure statements for all vehicles that are 10 years old or newer the lease buyout",Change name on title after lease buyout#3_0,24e713d8f7e5b795a41d7a28891ca33d
Is it okay to cross a crosswalk during my road test?,"No, you must stop before crossing the crosswalk.","No, you should not cross a crosswalk during your road test.","[{'sp_id': '74', 'label': 'solution'}]",What should I practice for my road test?,Prepare for your road test#3_0,5f9713af315a62eb0eccf869a20913c1
"Yes, I really would like to open an inspection station.",Then you may be subject to Public Emissions Inspection State Cap and you should read the information about it before you apply.,I would like to open an inspection station.,"[{'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Open an inspection station[1],Open an inspection station#1_0,667c0872e37251b024e118a63e5d4a29
What documentation do I need if I am registering for  business or organization?,You must bring proof of incorporation of the business or organization with you,proof of incorporation,"[{'sp_id': '38', 'label': 'solution'}]","you register for a business or organization , also bring proof of incorporation.",Register a vehicle I bought at a sheriff or marshal auction#3_0,b46ae2e9e87567feb59441ee1d3df031
"Hello, I would like to know the Terms of Service of the MyDMV account",can I give you an INTRODUCTION of those terms,[1],"[{'sp_id': '2', 'label': 'solution'}]",MyDMV Account Terms of Service[1],MyDMV Account Terms of Service#1_0,97219b15f78feb27bc5710f8d05cc2c0
I need the know how on how to get a personalized plate,Would you like to order a personalized plate?,You can order personalized plates online. You can also order personalized plates at a local grocery store,"[{'sp_id': '2', 'label': 'precondition'}]",How do I order personalized plates?,Order personalized plates#1_0,59b46ed20c49974ccf74c5281aa9e2ff
is all I need to know about how to register the car?,yes follow the recommendations,(ii).,"[{'sp_id': '18', 'label': 'solution'}, {'sp_id': '19', 'label': 'solution'}, {'sp_id': '20', 'label': 'solution'}]","Modifications to a car, pick - up truck, van, motorcycle, or moped can affect its registration class. Important : The DMV cannot examine your vehicle to determine the correct registration class. You must determine the correct registration class for your vehicle.",Vehicle modifications and registration class#3_0,c71816b26e57605e94ac160bf29ba72f
yes, You do not need to update your voter registration information any of the information below changed since you last voted,is this information required to register to vote,"[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]","To register to vote online you will need your NYS Driver License , Permit or Non - Driver ID Social Security Number DMV will display your name, residence and mailing addresses, date of birth, and gender from DMV records for you to confirm their accuracy. if DMV's records do not reflect your current name or address [4], or date of birth or gender [5], you must first correct this information before processing an online Voter Registration Application you will be asked to answer a series of voter",Voter Registration Application Frequently Asked Questions#1_0,e79d6805f012846e90c7210dbe641d74
