cos_sim,cos_sim_ans
0.5792891,0.5382965
0.6244548,0.51414156
0.6244548,0.5991786
0.92846686,0.62819624
0.5305267,0.47007522
0.6149189,0.5399108
0.5792891,0.43859243
0.5305267,0.485909
0.6244548,0.5991786
0.6494772,0.5427764
0.5792891,0.522387
0.6244548,0.515251
0.6494772,0.5146049
0.5792891,0.60570556
0.65942514,0.5222706
0.6149189,0.522387
0.6494772,0.6208046
0.5305267,0.48786968
0.60319597,0.48302305
0.65942514,0.522387
0.61522424,0.5072259
0.7852318,0.46467945
0.66662514,0.46991846
0.654751,0.53750545
0.7852318,0.48270255
0.61522424,0.5305864
0.654751,0.54317766
0.5613429,0.53760135
0.654751,0.46681184
0.5797583,0.4501441
0.5238364,0.55490977
0.696328,0.5205265
0.696328,0.5205265
0.71324295,0.3631653
0.48881295,0.4272511
0.612795,0.50653434
0.71324295,0.6073923
0.5238364,0.55222577
0.696328,0.70373297
0.63719285,0.49942154
0.741179,0.5398638
0.71324295,0.42878455
0.5238363,0.550543
0.70176834,0.48508036
0.741179,0.48136318
0.696328,0.48508036
0.71324295,0.5325397
0.741179,0.44239837
0.5238363,0.52549404
0.5238363,0.5366324
0.59023184,0.58284897
0.52622044,0.49479705
0.59023184,0.5898704
0.6562286,0.45813346
0.48400584,0.4804431
0.62764865,0.5581428
0.62764865,0.4804431
0.59023184,0.47595245
0.6354488,0.5757106
0.6103596,0.48665047
0.7745325,0.5389984
0.47815594,0.56568134
0.47815594,0.60124296
0.7745325,0.6238098
0.502807,0.50538707
0.5988554,0.56568134
0.47815594,0.56568134
0.5171818,0.58287525
0.41649035,0.45264176
0.4462561,0.48594075
0.61533964,0.652418
0.6065015,0.50148624
0.6065015,0.6626357
0.5847206,0.4461874
0.5847206,0.50148624
0.6365609,0.49813598
0.5847206,0.5975724
0.5847206,0.57678914
0.61533964,0.6231556
0.62020886,0.4012227
0.64214414,0.8450281
0.64214414,0.6930867
0.47855031,0.554592
0.4106509,0.52867657
0.4106509,0.5377956
0.47855031,0.37112767
0.55649805,0.42165688
0.64214414,0.52867657
0.64214414,0.5183917
0.43596956,0.4583882
