cos_sim,cos_sim_ans
0.5990378,0.5382965
0.48576927,0.51414156
0.6489409,0.5991786
0.9497479,0.62819624
0.5103479,0.47007522
0.48576927,0.5399108
0.5990378,0.43859243
0.5103479,0.485909
0.6489409,0.5991786
0.45327196,0.5427764
0.5990378,0.522387
0.48576927,0.515251
0.45327196,0.5146049
0.5990378,0.60570556
0.6534158,0.5222706
0.48576927,0.522387
0.6035155,0.6208046
0.5103479,0.48786968
0.60491997,0.48302305
0.6534158,0.522387
0.62562275,0.5072259
0.72263014,0.46467945
0.5907856,0.46991846
0.57222,0.53750545
0.63968676,0.48270255
0.62562275,0.5305864
0.57222,0.54317766
0.56373465,0.53760135
0.57898116,0.46681184
0.5551194,0.4501441
0.5198423,0.55490977
0.51148784,0.5205265
0.51148784,0.5205265
0.4338866,0.3631653
0.44346386,0.4272511
0.51148784,0.50653434
0.4338866,0.6073923
0.5198423,0.55222577
0.63229114,0.70373297
0.63248783,0.49942154
0.46386832,0.5398638
0.5305396,0.42878455
0.5198424,0.550543
0.51148784,0.48508036
0.51148784,0.48136318
0.51148784,0.48508036
0.43388653,0.5325397
0.46386832,0.44239837
0.5198424,0.52549404
0.5198424,0.5366324
0.5902004,0.58284897
0.50695366,0.49479705
0.5902004,0.5898704
0.5728564,0.45813346
0.45824784,0.4804431
0.6295147,0.5581428
0.556858,0.4804431
0.4676003,0.47595245
0.47055727,0.5757106
0.5245509,0.48665047
0.49501443,0.5389984
0.47815597,0.56568134
0.47815597,0.60124296
0.52907056,0.6238098
0.4932579,0.50538707
0.49501443,0.56568134
0.47815597,0.56568134
0.47767946,0.58287525
0.41649026,0.45264176
0.4462561,0.48594075
0.61533964,0.652418
0.52847564,0.50148624
0.61660767,0.6626357
0.44276428,0.4461874
0.5620297,0.50148624
0.51478904,0.49813598
0.6056433,0.5975724
0.6056433,0.57678914
0.61533964,0.6231556
0.5891008,0.4012227
0.821329,0.8450281
0.56991506,0.6930867
0.47855031,0.554592
0.4106509,0.52867657
0.4106509,0.5377956
0.47855031,0.37112767
0.5355092,0.42165688
0.60645986,0.52867657
0.56991506,0.5183917
0.4359696,0.4583882
0.44513625,0.53584117
0.5484073,0.5057077
0.45674473,0.46170142
0.5484073,0.5691941
0.49081144,0.5472317
0.5484073,0.5691941
0.5484073,0.5691941
0.5099361,0.5691941
0.49677163,0.61503696
0.95372903,0.6570537
0.6153395,0.6152053
0.5620297,0.5313875
0.5620297,0.5197286
0.5405819,0.53084826
0.5620297,0.5197286
0.4715525,0.51667774
0.53171736,0.4942131
0.5405819,0.53084826
0.6153395,0.53084826
0.4415758,0.46470243
0.6153397,0.53183424
0.5776381,0.51812875
0.5620298,0.5183863
0.5620298,0.53183424
0.4994132,0.55666625
0.51968205,0.5183863
0.5826262,0.59446025
0.4893925,0.5122125
0.4776814,0.40604472
0.4572967,0.50183296
0.7079211,0.70741165
0.58841234,0.6492604
0.5573312,0.550332
0.5658828,0.5402119
0.5993885,0.5599047
0.5573312,0.550332
0.59315073,0.52052486
0.5276965,0.5294963
0.5573312,0.55565345
0.5573312,0.55565345
0.7359474,0.5788453
