cos_sim,cos_sim_ans
0.6975065,0.67888755
0.48576927,0.5141415
0.62231064,0.6243552
0.9133381,0.6281962
0.6044586,0.6051278
0.48043627,0.44944322
0.48576927,0.53991085
0.7053984,0.67639625
0.62231064,0.62353396
0.45327196,0.54351664
0.48576927,0.52238685
0.62231064,0.6056591
0.67226344,0.56781137
0.71749616,0.5495185
0.48576927,0.52238685
0.48576927,0.52238685
0.6524902,0.62080467
0.50460756,0.36016357
0.6005795,0.53711736
0.48576927,0.52238685
0.5172253,0.54263914
0.66489196,0.5163186
0.60050136,0.57738864
0.57222,0.5375054
0.63968676,0.526613
0.5172253,0.42237327
0.6103159,0.526613
0.60050136,0.59010345
0.6286844,0.51411676
0.47107506,0.34667832
0.72689855,0.7420215
0.6480434,0.695911
0.51148784,0.5205265
0.43388653,0.36316526
0.6675751,0.3857066
0.606611,0.5816209
0.43388653,0.60739225
0.6830803,0.648306
0.72689855,0.6851781
0.6940502,0.6601603
0.75469255,0.52145386
0.75469255,0.6128195
0.7268985,0.7006017
0.5947554,0.4472896
0.51148784,0.48074323
0.51148784,0.4850803
0.7107585,0.55566955
0.63912916,0.6565425
0.7268985,0.76766086
0.7268985,0.76968867
0.47055727,0.58070135
0.72720426,0.7471776
0.47055727,0.58070135
0.5760588,0.45813346
0.556858,0.48044306
0.6295147,0.55814284
0.556858,0.48044306
0.5436931,0.62324667
0.47055727,0.5691937
0.5245509,0.51163656
0.49501443,0.5389984
0.47815594,0.56568134
0.47815594,0.60124296
0.4796508,0.6421739
0.47815594,0.39359242
0.62498164,0.5742198
0.47815594,0.56568134
0.5108392,0.5204277
0.40901548,0.4660864
0.45422798,0.34456944
0.61533964,0.65241814
0.5284756,0.50983703
0.6310631,0.570597
0.5620297,0.50148624
0.5620297,0.4876715
0.51478904,0.49813598
0.4877941,0.53208864
0.6333547,0.48358196
0.99143434,0.9489729
0.5891008,0.4012227
0.459036,0.6413551
0.61268866,0.72322893
0.47855031,0.554592
0.47855031,0.52867657
0.47855031,0.5377956
0.47855031,0.37112767
0.60645986,0.5057655
0.459036,0.5241038
0.5781156,0.53318757
0.5362379,0.5243218
0.8172214,0.81512153
0.64262265,0.5057076
0.51105314,0.54744864
0.5963979,0.569194
0.8172214,0.81512153
0.5484073,0.5784544
0.5963979,0.569194
0.50993603,0.5678197
0.62270766,0.6468413
0.4994582,0.6021034
0.61533964,0.6152053
0.5620297,0.5313875
0.48779404,0.5456619
0.60349405,0.530848
0.5206156,0.474472
0.48779404,0.5166776
0.5317174,0.46708554
0.61533964,0.530848
0.61533964,0.530848
0.4963761,0.51732934
0.6153397,0.53183424
0.51004726,0.46992487
0.5620298,0.50206697
0.5620298,0.53183424
0.4994132,0.55666625
0.51968205,0.5183863
0.5826262,0.5944602
0.4893925,0.5122125
0.4776814,0.5396783
0.4572967,0.5018329
0.707921,0.70741165
0.58841234,0.6492604
0.5573312,0.550332
0.5658828,0.5402119
0.5993885,0.5599047
0.5573312,0.550332
0.60867435,0.47384462
0.52769643,0.5294963
0.5573312,0.55565345
0.5573312,0.55565345
0.7359474,0.5788453
0.9054477,0.5912539
0.5713871,0.61605644
0.57579494,0.56322694
0.5305858,0.5660478
0.7359474,0.5788453
0.5305858,0.5660478
0.54376173,0.46940893
0.6417188,0.69514203
0.52449304,0.5763411
0.73594743,0.574565
0.64171875,0.6079893
0.5570077,0.54813224
0.57138705,0.45589358
0.73594743,0.48109278
0.73594743,0.5578875
0.73594743,0.4335734
0.52449286,0.37795004
0.73594743,0.6791807
0.54033756,0.51647913
0.6029758,0.45209044
0.5266976,0.5522392
0.5494851,0.5522392
0.5266976,0.53503114
0.55517113,0.59707284
0.43064934,0.3874348
0.5494851,0.54379743
0.5494851,0.5522392
0.59525234,0.5263333
0.5494851,0.5522392
0.689311,0.66545963
0.510406,0.52240175
0.7160634,0.42974392
0.7209365,0.5160661
0.7209365,0.53402716
0.5450524,0.5877751
0.51474375,0.53518367
0.54883754,0.3173947
0.510406,0.53402716
0.37584934,0.36947095
0.5378758,0.474311
0.6806906,0.542958
0.54142624,0.5424535
0.6103567,0.42156267
0.63446033,0.62258196
0.9474213,0.8770641
0.48856807,0.5702319
0.6103567,0.42156267
0.6806906,0.61690813
0.63070333,0.51992023
0.4624619,0.4467135
0.51502836,0.568558
0.6479708,0.6423718
0.6169481,0.58151144
0.6169481,0.58151144
0.7176276,0.38275814
0.7176276,0.38275814
0.6593032,0.60487735
0.6169481,0.47269255
0.59188366,0.52981865
0.65596557,0.5465534
0.63446033,0.6199099
0.9474213,0.76230454
0.9474213,0.5310385
0.68630016,0.37602642
0.6103567,0.4658029
0.63070333,0.47617325
0.63070333,0.41490817
0.65596557,0.64111596
0.6103567,0.4658029
0.50428534,0.5981469
0.77472186,0.5564287
0.64441144,0.6680256
0.60282695,0.5898472
0.60282695,0.47501525
0.6620079,0.48975223
0.6369374,0.49390906
0.63565874,0.434016
0.64441144,0.5619397
0.63565874,0.6083141
0.61122936,0.47106874
0.6730684,0.43176612
0.8058814,0.39459968
0.769341,0.44990376
0.5399724,0.48351008
