cos_sim,cos_sim_ans
0.811269,0.5285531
0.667656,0.5141415
0.667656,0.59917855
0.811269,0.6281962
0.66993004,0.6051278
0.68116903,0.53991085
0.811269,0.53991085
0.66993004,0.6051278
0.667656,0.6333298
0.6739056,0.6049779
0.811269,0.52238685
0.667656,0.6056591
0.6739056,0.6103011
0.811269,0.54980814
0.8255459,0.52238685
0.6739056,0.52238685
0.6739056,0.62080467
0.66993004,0.36016357
0.667656,0.53711736
0.8255459,0.52238685
0.81683123,0.57989204
0.8655654,0.5149597
0.6907548,0.5764219
0.73354,0.5375054
0.8655654,0.52661294
0.81683123,0.5431775
0.73354,0.54162586
0.6907548,0.597455
0.73354,0.49992692
0.69849575,0.50409734
0.7502023,0.54431784
0.7502023,0.5205265
0.7502023,0.5205265
0.8349891,0.36316523
0.6757308,0.43139094
0.6757308,0.5849002
0.8349891,0.8512139
0.7502023,0.64186656
0.7502023,0.7590846
0.73599887,0.5282677
0.7359988,0.67818606
0.7359988,0.6128195
0.7502023,0.7048578
0.6599729,0.6471081
0.7502023,0.48074323
0.7502023,0.4850803
0.754845,0.56886953
0.75089824,0.7892505
0.7502023,0.7658042
0.7502023,0.7616068
0.74131155,0.58070135
0.6864969,0.7567375
0.74131155,0.90880823
0.6864969,0.45813346
0.65842146,0.48665035
0.6748163,0.49612153
0.6748163,0.48665035
0.72020334,0.79955924
0.74131155,0.5691937
0.57863975,0.51163656
0.5425057,0.5389983
0.4798497,0.56568134
0.4798497,0.5478555
0.5425057,0.58598244
0.4798497,0.5789424
0.59678245,0.53495926
0.4798497,0.58908
0.59431744,0.52042764
0.47480237,0.43960005
0.54951346,0.34456947
0.6153057,0.65241814
0.7547859,0.44205463
0.7547859,0.5763135
0.70171475,0.5174684
0.70171475,0.3708636
0.7353987,0.498136
0.7543212,0.5893494
0.70171475,0.5093532
0.7547859,0.9489728
0.70171475,0.40122274
0.49503708,0.57266504
0.5528561,0.54810107
0.5065242,0.47112206
0.5065242,0.5118075
0.5065242,0.51481426
0.5065242,0.52867657
0.49503708,0.42165688
0.49503708,0.57046294
0.5528561,0.50810313
0.48896745,0.48496735
0.7348805,0.81512153
0.717115,0.5704653
0.6953239,0.53423554
0.7310852,0.569194
0.7348805,0.81512153
0.6953239,0.5739516
0.7310852,0.569194
0.7348805,0.59759885
0.6496047,0.6293559
0.6953239,0.6011503
0.6153057,0.5595304
0.7547859,0.53138757
0.7543212,0.55424935
0.7543212,0.5308481
0.6495772,0.49838525
0.7543212,0.5174072
0.6495772,0.5834362
0.6153057,0.5308481
0.6153057,0.7324754
0.61818457,0.51732916
0.61530566,0.5183863
0.6495772,0.5303828
0.70171475,0.5517237
0.7547859,0.53183436
0.70171475,0.61637276
0.61377805,0.49507707
0.58528364,0.59446025
0.64065,0.621194
0.61476755,0.55818707
0.6052835,0.5018327
0.68381065,0.45730078
0.65519947,0.6492604
0.65519947,0.55033183
0.5861504,0.5785089
0.63705903,0.5399199
0.65519947,0.5556536
0.62282383,0.4402555
0.69696283,0.5294964
0.62526506,0.6139486
0.62526506,0.55033183
0.7823122,0.5660479
0.87476707,0.59125394
0.79600394,0.61335737
0.851053,0.5660479
0.79600394,0.6099352
0.7823122,0.5788454
0.79600394,0.6099352
0.7928009,0.46940887
0.79600394,0.69514203
0.8097281,0.5763412
0.78231215,0.91396177
0.7960039,0.6079894
0.76652133,0.7729215
0.7960039,0.4558936
0.78231215,0.6920222
0.78231215,0.5578876
0.78231215,0.5777149
0.7960039,0.37795013
0.78231215,0.5748858
0.8466015,0.5164792
0.6978787,0.7499448
0.8846511,0.48091042
0.7942337,0.54379755
0.6985872,0.52565217
0.7071271,0.55272186
0.6985872,0.46967077
0.7942337,0.54379755
0.7942337,0.54379755
0.68694186,0.58431315
0.7942337,0.54379755
0.75008047,0.6654596
0.7938902,0.5224016
0.7938902,0.42974395
0.68941486,0.7558023
0.68941486,0.5340271
0.51799595,0.61884123
0.51799595,0.3026671
0.54146224,0.31739467
0.5615322,0.5340271
0.51799595,0.369471
0.74702334,0.80013335
0.68708485,0.6370395
0.61890537,0.39049274
0.68708485,0.50594485
0.61890537,0.62258196
0.74702334,0.8770641
0.74702334,0.8609979
0.68708485,0.6403414
0.68708485,0.6262012
0.68708485,0.5141666
0.5664474,0.45089346
0.6233876,0.568558
0.6056957,0.4843918
0.6233876,0.61301064
0.6233876,0.61301064
0.6056957,0.38275814
0.6056957,0.38275814
0.6056957,0.60487735
0.6233876,0.530265
0.5664474,0.52981865
0.68708485,0.5685048
0.61890537,0.61990994
0.74702334,0.7623044
0.74702334,0.52827406
0.74702334,0.39252675
0.68708485,0.53303874
0.68708485,0.47617322
0.68708485,0.47470033
0.68708485,0.48925096
0.68708485,0.4658029
0.7233413,0.53270173
0.7029251,0.45392394
0.7233413,0.61391634
0.7407009,0.5946876
0.7407009,0.52881736
0.7233413,0.49204144
0.7233413,0.49204144
0.7233413,0.7381543
0.7233413,0.79274786
0.7233413,0.59104
0.85057646,0.47106874
0.85057646,0.5326212
0.85386586,0.47404048
0.85386586,0.44990376
0.85386586,0.47404048
0.85057646,0.47404048
0.85057646,0.5877845
0.7804524,0.47683594
0.85386586,0.47404048
0.85386586,0.48184556
0.6288165,0.86573863
0.60182095,0.8278816
0.60182095,0.43484846
0.60182095,0.74517167
0.60182095,0.72218513
0.60886604,0.552732
0.60182095,0.5683223
0.60886604,0.5099332
0.6382033,0.76086545
0.60182095,0.50769377
0.8109157,0.7167219
0.74236244,0.4799624
0.7945012,0.6823345
0.7945012,0.5435698
0.82215065,0.73522437
0.74236244,0.6696712
0.8009672,0.73522437
0.7945012,0.7465639
0.74236244,0.5435698
0.74236244,0.62814564
0.67338717,0.879321
0.6551634,0.51850885
0.67338717,0.685785
0.6289669,0.51850885
0.67338717,0.73580456
0.6734003,0.5269648
0.6551634,0.51850885
0.693569,0.581705
0.67338717,0.6931441
0.6289669,0.65068763
0.8397838,0.5322962
0.8215697,0.80889654
