cos_sim,cos_sim_ans
0.583122,0.5285531
0.48576927,0.5141415
0.62231064,0.59917855
0.578385,0.6281962
0.6044586,0.6051278
0.48576927,0.53991085
0.48576927,0.53991085
0.6044586,0.6051278
0.62231064,0.6333298
0.52008885,0.6049779
0.48576927,0.52238685
0.62231064,0.6056591
0.67226344,0.6103011
0.71749616,0.54980814
0.48576927,0.52238685
0.48576927,0.52238685
0.6524902,0.62080467
0.50460756,0.36016357
0.6005795,0.53711736
0.48576927,0.52238685
0.63968676,0.57989204
0.49693882,0.5149597
0.60050136,0.5764219
0.57222,0.5375054
0.63968676,0.52661294
0.57222,0.5431775
0.6135328,0.54162586
0.66113716,0.597455
0.6286844,0.49992692
0.6532997,0.50409734
0.6572986,0.54431784
0.51148784,0.5205265
0.51148784,0.5205265
0.43388653,0.36316523
0.5658023,0.43139094
0.606611,0.5849002
0.84448045,0.8512139
0.75469255,0.64186656
0.72689855,0.7590846
0.6164393,0.5282677
0.7268985,0.67818606
0.75469255,0.6128195
0.75469255,0.7048578
0.6923925,0.6471081
0.51148784,0.48074323
0.51148784,0.4850803
0.7107585,0.56886953
0.8444804,0.7892505
0.7268985,0.7658042
0.7268985,0.7616068
0.47055727,0.58070135
0.72720426,0.7567375
0.47055727,0.90880823
0.5760588,0.45813346
0.556858,0.48665035
0.5760588,0.49612153
0.556858,0.48665035
0.76728976,0.79955924
0.47055727,0.5691937
0.5245509,0.51163656
0.49501443,0.5389983
0.47194365,0.56568134
0.52213,0.5478555
0.4796508,0.58598244
0.47767946,0.5789424
0.62498164,0.53495926
0.4656155,0.58908
0.5108392,0.52042764
0.40901548,0.43960005
0.45422798,0.34456947
0.61533964,0.65241814
0.45508048,0.44205463
0.6310631,0.5763135
0.5461031,0.5174684
0.42129362,0.3708636
0.51478904,0.498136
0.6056433,0.5893494
0.5207344,0.5093532
0.99143434,0.9489728
0.5891008,0.40122274
0.44069403,0.57266504
0.57921416,0.54810107
0.5225347,0.47112206
0.5081982,0.5118075
0.5081982,0.51481426
0.60645986,0.52867657
0.5353391,0.42165688
0.49306646,0.57046294
0.56991506,0.50810313
0.5362379,0.48496735
0.8172214,0.81512153
0.50592387,0.5704653
0.50678515,0.53423554
0.50993603,0.569194
0.8172214,0.81512153
0.51105314,0.5739516
0.50993603,0.569194
0.5406164,0.59759885
0.51999485,0.6293559
0.4994582,0.6011503
0.48779404,0.5595304
0.5620297,0.53138757
0.65416175,0.55424935
0.52847564,0.5308481
0.5620297,0.49838525
0.45508045,0.5174072
0.53746116,0.5834362
0.60349405,0.5308481
0.45711008,0.7324754
0.4963761,0.51732916
0.60349417,0.5183863
0.5317175,0.5303828
0.5461031,0.5517237
0.5620298,0.53183436
0.4994132,0.61637276
0.5284756,0.49507707
0.5826261,0.59446025
0.60988945,0.621194
0.4643761,0.55818707
0.45729664,0.5018327
0.61541414,0.45730078
0.5993885,0.6492604
0.5573312,0.55033183
0.60827357,0.5785089
0.60867435,0.5399199
0.5573312,0.5556536
0.53881484,0.4402555
0.52769643,0.5294964
0.59350324,0.6139486
0.5573312,0.55033183
0.5305858,0.5660479
0.9054477,0.59125394
0.5713871,0.61335737
0.5305858,0.5660479
0.5713871,0.6099352
0.5305858,0.5788454
0.5713871,0.6099352
0.54376173,0.46940887
0.6417188,0.69514203
0.52449304,0.5763412
1.0000002,0.91396177
0.64171875,0.6079894
0.69468653,0.7729215
0.5532018,0.4558936
1.0000002,0.6920222
0.53058577,0.5578876
0.59447855,0.5777149
0.52449286,0.37795013
0.61683804,0.5748858
0.54033756,0.5164792
0.8097906,0.7499448
0.51326025,0.48091042
0.5494851,0.54379755
0.5256833,0.52565217
0.5414412,0.55272186
0.55517113,0.46967077
0.5494851,0.54379755
0.5494851,0.54379755
0.5936075,0.58431315
0.5494851,0.54379755
0.6893109,0.6654596
0.51040614,0.5224016
0.7160634,0.42974395
0.66360146,0.7558023
0.5248336,0.5340271
0.5450524,0.61884123
0.37584934,0.3026671
0.37584934,0.31739467
0.51040614,0.5340271
0.37584934,0.369471
0.9474213,0.80013335
0.68630016,0.6370395
0.6731184,0.39049274
0.6103567,0.50594485
0.63446033,0.62258196
0.9474213,0.8770641
0.9474213,0.8609979
0.5378758,0.6403414
0.6806906,0.6262012
0.63070333,0.5141666
0.4624619,0.45089346
0.51502836,0.568558
0.49175283,0.4843918
0.6169481,0.61301064
0.6169481,0.61301064
0.7176276,0.38275814
0.7176276,0.38275814
0.6593032,0.60487735
0.6169481,0.530265
0.59188366,0.52981865
0.5378758,0.5685048
0.63446033,0.61990994
0.9474213,0.7623044
0.63070333,0.52827406
0.68630016,0.39252675
0.63070333,0.53303874
0.63070333,0.47617322
0.63070333,0.47470033
0.65596557,0.48925096
0.6103567,0.4658029
0.63565874,0.53270173
0.83140457,0.45392394
0.66180617,0.61391634
0.63565874,0.5946876
0.60282695,0.52881736
0.63565874,0.49204144
0.63565874,0.49204144
0.7741287,0.7381543
0.7741287,0.79274786
0.7741287,0.59104
0.74864554,0.47106874
0.769341,0.5326212
0.5399724,0.47404048
0.769341,0.44990376
0.5399724,0.47404048
0.5399724,0.47404048
0.74864554,0.5877845
0.42140543,0.47683594
0.5399724,0.47404048
0.7244518,0.48184556
0.87171364,0.86573863
0.61209357,0.8278816
0.4383447,0.43484846
0.5759003,0.74517167
0.56446934,0.72218513
0.5722887,0.552732
0.61209357,0.5683223
0.5224644,0.5099332
0.63096213,0.76086545
0.5517795,0.50769377
0.9483987,0.7167219
0.49531448,0.4799624
0.781752,0.6823345
0.5406567,0.5435698
0.7369443,0.73522437
0.76140296,0.6696712
0.7369443,0.73522437
0.7400648,0.7465639
0.5406567,0.5435698
0.7578424,0.62814564
0.65031374,0.879321
0.5000551,0.51850885
0.6852307,0.685785
0.5000551,0.51850885
0.69439566,0.73580456
0.55231696,0.5269648
0.5000551,0.51850885
0.6094083,0.581705
0.67838305,0.6931441
0.63138044,0.65068763
0.575791,0.5322962
0.7211803,0.80889654
0.575791,0.5322962
0.5226847,0.5322962
0.5629385,0.5243478
0.5902368,0.5502434
0.5226847,0.5322962
0.63569933,0.5308728
0.5230565,0.48051354
0.5226847,0.5322962
0.86750853,0.61410034
0.55813944,0.5203366
0.5304776,0.5710731
0.9746902,0.7926063
0.7691829,0.66987705
0.6648129,0.7583631
0.62327486,0.6858424
0.5304776,0.5710731
0.79237425,0.54660636
0.5304776,0.5710731
0.890047,0.7379541
0.42224848,0.45294827
0.58387864,0.5931176
0.50985605,0.56479955
0.50579363,0.5397721
0.395303,0.51312363
0.47005635,0.6627712
0.50985605,0.55857
0.47005635,0.53753495
0.5431078,0.7102027
0.57569957,0.5893703
0.59092826,0.5131436
0.57569957,0.5893703
0.5661317,0.5650928
0.57569957,0.5893703
0.6642401,0.6880356
0.57569957,0.5893703
0.57569957,0.5893703
0.5620608,0.5734615
0.6642401,0.64278656
0.88980055,0.9515389
0.7735703,0.66177034
0.59395254,0.50749016
0.597291,0.6250298
0.6137619,0.54108936
0.50861865,0.5146654
0.8770627,0.9332211
0.46900415,0.43514895
0.6170658,0.59703827
0.5615215,0.5146654
0.62135875,0.8463243
0.74120915,0.5869628
0.68359035,0.6685146
0.5289564,0.57776916
0.5184972,0.57592636
0.74120915,0.5795323
0.5184972,0.57592636
0.5184972,0.57592636
0.6082642,0.61803806
0.5289564,0.57776916
0.77658135,0.6380782
0.64833313,0.67641234
0.50441915,0.42581338
0.4809723,0.43554202
0.4343412,0.47451717
0.47101948,0.53631115
0.59125966,0.56101286
0.4343412,0.47451717
0.47101948,0.5186877
0.53236514,0.5475886
0.61488956,0.45439547
0.54355633,0.5874592
0.61121535,0.53071785
0.61757994,0.58055526
0.49154583,0.42294776
0.6800797,0.6855833
0.6800797,0.6855833
0.6030497,0.506736
0.5722908,0.6645254
0.49154583,0.41998923
0.58909124,0.81228733
0.53174025,0.5447581
0.45451802,0.4423117
0.58909124,0.6215989
0.53174025,0.5433585
0.6072426,0.60032237
0.56100965,0.50765306
0.53174025,0.5433585
0.6072426,0.5923955
0.66345114,0.6130422
0.54686254,0.52636206
0.555393,0.5035818
0.66625994,0.50291604
0.54686254,0.52636206
0.5114325,0.5048929
0.64859855,0.61016357
0.555393,0.5055454
0.5593427,0.47286063
0.52436686,0.5113498
0.6785825,0.5571021
0.9557204,0.7470747
0.4280393,0.4847052
0.41352445,0.44088697
0.5585153,0.53736913
0.6999395,0.6650364
0.4542007,0.49339533
0.60138595,0.6742504
0.7324394,0.59263664
0.60138595,0.63538325
0.6449317,0.57460725
0.5667126,0.56514287
0.50767523,0.45609576
0.79640365,0.6806504
0.5441227,0.5897743
0.5805334,0.46735546
0.4661528,0.5210231
0.4661528,0.5210231
0.45881248,0.5200989
0.53574365,0.5075386
0.53063744,0.37669745
0.9047308,0.97692263
0.7056614,0.5627792
0.5579563,0.4465118
0.61386645,0.6927284
0.7056614,0.7112562
0.7553979,0.5558802
0.7589637,0.72018313
0.7022112,0.7197849
0.5456278,0.48343968
0.64440477,0.4135034
0.5089382,0.5993619
0.6138371,0.6314051
0.5089382,0.5993619
0.68457544,0.6735836
0.7354465,0.69926435
0.5089382,0.5993619
0.66177964,0.6950033
0.6294886,0.63638175
0.5895557,0.60128045
0.66177964,0.48417464
0.53751206,1.0000005
0.7391963,0.5469292
0.53751206,1.0000005
0.631089,0.5889574
0.7763992,0.48154175
0.65690064,0.5150473
0.6494839,0.5328196
0.5647213,0.52086985
0.5590343,0.4883582
0.5436016,0.56300473
0.5921476,0.45429897
0.6035459,0.60623455
0.47723413,0.7198826
0.62297,0.6041761
0.5388149,0.5996069
0.5921476,0.6209956
0.652089,0.63183427
0.55530447,0.47542173
0.6502502,0.64434713
0.577026,0.5316562
0.5241095,0.57597697
0.50093925,0.39909634
0.6135471,0.53736705
0.5068452,0.619435
0.5241095,0.57597697
0.5241095,0.5708597
0.524662,0.44421154
0.47819054,0.4247167
0.5544341,0.50605565
0.5565627,0.6002689
0.9674151,0.98599255
0.5768566,0.53665763
0.65739155,0.7089243
0.5580655,0.6771571
0.5977029,0.5994761
0.80847645,0.82157385
0.53175265,0.54789805
0.5977029,0.6084557
0.8595882,0.86798257
0.5346154,0.48922497
0.602256,0.49793726
0.47253853,0.40556204
0.6359663,0.52956516
0.5405826,0.4161149
0.5903686,0.39954245
0.557182,0.46405703
0.48303926,0.43503374
0.5404514,0.523224
0.5404514,0.52824354
0.50340056,0.4580289
0.42179984,0.4494175
0.42179984,0.4335037
0.42179984,0.4813112
0.49680182,0.50064766
0.42179984,0.57452756
0.42179984,0.49283963
0.62490416,0.6080205
0.4832131,0.47651047
0.62490416,0.5912324
0.467103,0.45418262
0.50068164,0.59375536
0.5551442,0.6859554
0.5078425,0.49516052
0.46678683,0.59765756
0.63462275,0.55627507
0.63462275,0.55627507
0.55573267,0.3987729
0.5551442,0.87829673
0.63462275,0.54707456
0.46678683,0.4218833
0.96217,0.9039762
0.47539604,0.47816542
0.5515447,0.62986314
0.5515447,0.48149002
0.48604387,0.48696887
0.5911341,0.5573376
0.5515447,0.61383367
0.5167154,0.37600493
0.5107644,0.5656655
0.5515447,0.61383367
0.5563679,0.5719295
0.6039028,0.66594076
0.5136986,0.46945515
0.64337087,0.57207626
0.5158217,0.5211678
0.610441,0.64490867
0.61714846,0.35805696
0.51835,0.45488405
0.52725375,0.4967288
0.65049285,0.6404789
0.6104411,0.6970944
0.6104411,0.7053335
0.55636793,0.5237762
0.55636793,0.54728603
0.55636793,0.54728603
0.55636793,0.54728603
0.55636793,0.5237762
0.55636793,0.54728603
0.62371486,0.5768916
0.5582773,0.5199053
0.8894411,0.9500447
0.5545552,0.41498
0.43514663,0.52895117
0.54652846,0.5046319
0.72365236,0.73079735
0.48860595,0.48390263
0.6080654,0.58059496
0.61389506,0.58908665
0.38129094,0.48511067
0.5165237,0.4879328
0.56638825,0.5591715
0.7031653,0.521595
0.6964805,0.6118914
0.6476252,0.49394014
0.5881797,0.6821929
0.5676562,0.6322072
0.98986703,0.55499935
0.75580394,0.66958916
0.45955157,0.47153676
0.45955157,0.47153676
0.52425313,0.5121171
0.79964864,0.96574783
