,question,answer,model_answer,true_ref_str,attribution,answer_f1,answer_prec,answer_recall,autoais_retrevied(model_answer),att_f1,att_prec,att_recall,autoais_true_answer,BLEU,ROUGHLS,BLEU_ANS,ROUGHLS_ANS,cos_sim,cos_sim_ans
0,"Hello, I forgot o update my address, can you help me with that?","hi, you have to report any change of address to DMV within 10 days after moving. You should do this both for the address associated with your license and all the addresses associated with all your vehicles.",yes,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ",Forgetting to Update Address,0.0,0.0,0.0,yes,0.1025641025641025,0.5,0.0571428571428571,yes,0.0683332407324896,0.0183321230057122,0.537284965911771,0.0954120756313892,0.5990378,0.5382965
1,Can I do my DMV transactions online?,"Yes, you can sign up for MyDMV for all the online transactions needed.",Yes,Sign up or log into MyDMV [6 ] ,,0.1538461538461538,1.0,0.0833333333333333,no,0.0,0.0,0.0,yes,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
2,"Thanks, and in case I forget to bring all of the documentation needed to the DMV office, what can I do?",This happens often with our customers so that's why our website and MyDMV are so useful for our customers. Just check if you can make your transaction online so you don't have to go to the DMV Office.,I will not be able to bring the documents to the DMV office.,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ",Not Bringing Proper Documentation to DMV Office,0.125,0.2727272727272727,0.081081081081081,yes,0.1063829787234042,0.7142857142857143,0.057471264367816,no,0.0439107358500634,0.0129738104359535,0.0369646273662623,0.0113951809403147,0.60491997,0.62929904
3,"Ok, and can you tell me again where should I report my new address?","Sure. Any change of address must be reported to the DMV, that's for the address associated with your license and any of your vehicles.",United States Postal Service,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ",sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket.,0.0,0.0,0.0,yes,0.1999999999999999,0.24,0.1714285714285714,yes,0.0131857802904031,0.0047575427581151,0.0710180453986169,0.0190523898752206,0.7317484,0.43498784
4,Can you tell me more about Traffic points and their cost?,"Traffic points is the system used by DMV to track dangerous drivers. The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.",Traffic points are a type of traffic signal that is used to indicate traffic signals in a city.,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",Understanding how Much Traffic Points Cost,0.2608695652173913,0.375,0.2,yes,0.0833333333333333,0.3333333333333333,0.0476190476190476,"The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.",0.0492353039261401,0.0142561081061302,0.0224384573492552,0.0074557340454313,0.5103479,0.47007525
5,Will you keep me informed about when my insurance is about to lapse?,Yes. The New York State requires every motorist to maintain their insurance up to date so we at DMV make sure to inform you if you have any problem with your insurance.,Yes,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ",,0.0625,1.0,0.032258064516129,no,0.0,0.0,0.0,Yes,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
6,Is it needed that my address is always up to date with you guys?,"Yes, It is required. If not we won't be able to keep you informed about your insurance and we'll suspend your registration and license. You should make sure to turn in your vehicle's license plate before canceling your insurance policy",1.,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ",Forgetting to Update Address,0.0,0.0,0.0,no,0.0,0.0,0.0,yes,0.0683332407324896,0.0183321230057122,0.5,0.067544361420347,0.5990378,0.4385925
7,Can you tell me more about the traffic points and its cost?,"Yes. This is the system DM uses to keep a record of dangerous drivers. The cost of the DMV charge, that it's a separate charge from the DRA, depends on the total points you accumulate.",Traffic points are a type of traffic signal that is used to indicate traffic signals in a particular direction.,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",Understanding how Much Traffic Points Cost,0.2222222222222222,0.2941176470588235,0.1785714285714285,yes,0.0833333333333333,0.3333333333333333,0.0476190476190476,Yes,0.0492353039261401,0.0142561081061302,0.0191818819428897,0.0065286999958692,0.5103479,0.48590896
8,It's always a hassle to bring all the required documents to the DMV Office. Please tell me an alternative.,This happens quite often with our customers when they don't bring some of the necessary documents or requirements to complete their transactions. The best you can do is to check our website to see if you can do your transaction online so you don't have to go to the DMV Office.,"Don't visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing","About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing",0.2535211267605634,0.391304347826087,0.1875,yes,0.4070796460176991,0.8846153846153846,0.264367816091954,yes,0.0133893341256372,0.0048555220560006,0.0144962721869842,0.0051981053469672,0.6489409,0.6475392
9,"In case I have a problem with my insurance and your inquiry letter does not resolve the problem, what would happen.","In that case, we must suspend the vehicle registration and if the problem continues, your driver's license. More than 300,000 registrations a year are suspended due to failing to maintain insurance.",I would have to pay a fine,"we must suspend the vehicle registration and ,  if it persists, your driver license!We suspend 300,000 registrations a year for failure to maintain insurance. ","We send 500,000 inquiry letters a year.",0.0588235294117647,0.1666666666666666,0.0357142857142857,it is not possible to tell,0.1481481481481481,0.3333333333333333,0.0952380952380952,it is not possible to tell,0.0522999606345228,0.0149398769191851,0.0804614294376826,0.0212740211318283,0.45327196,0.5427765
