,question,answer,model_answer,true_ref_str,attribution,answer_f1,answer_prec,answer_recall,autoais_retrevied(model_answer),att_f1,att_prec,att_recall,autoais_true_answer,BLEU,ROUGHLS,BLEU_ANS,ROUGHLS_ANS,cos_sim,cos_sim_ans
0,"Hello, I forgot o update my address, can you help me with that?","hi, you have to report any change of address to DMV within 10 days after moving. You should do this both for the address associated with your license and all the addresses associated with all your vehicles.",I'd like to know what the top five DMV mistakes are.,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ",the top five DMV mistakes and how to avoid them.,0.0888888888888888,0.2,0.0571428571428571,yes,0.0909090909090909,0.2222222222222222,0.0571428571428571,no,0.0441930381504679,0.013106080621754,0.0417751585407163,0.0125645746147724,0.59930754,0.6055611
1,Can I do my DMV transactions online?,"Yes, you can sign up for MyDMV for all the online transactions needed.",Yes,Sign up or log into MyDMV [6 ] ,,0.1538461538461538,1.0,0.0833333333333333,no,0.0,0.0,0.0,yes,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
2,"Thanks, and in case I forget to bring all of the documentation needed to the DMV office, what can I do?",This happens often with our customers so that's why our website and MyDMV are so useful for our customers. Just check if you can make your transaction online so you don't have to go to the DMV Office.,a suspended license,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ",Failure to pay the DRA will result in a suspended license.,0.0,0.0,0.0,no,0.0833333333333333,0.4444444444444444,0.0459770114942528,no,0.0373959961358075,0.0114616990255872,0.0998943704395693,0.024784424606685,0.5604759,0.514747
3,"Ok, and can you tell me again where should I report my new address?","Sure. Any change of address must be reported to the DMV, that's for the address associated with your license and any of your vehicles.",DMV,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ","By statute , you must report a change of address to DMV within ten days of moving.",0.0869565217391304,1.0,0.0454545454545454,yes,0.48,0.8,0.3428571428571428,yes,0.0275222746540701,0.0089339816240339,0.537284965911771,0.0954120756313892,0.9497479,0.6281962
4,Can you tell me more about Traffic points and their cost?,"Traffic points is the system used by DMV to track dangerous drivers. The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.","DMV maintains a point system to track dangerous drivers. Often, motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a","DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ","Often , motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a",0.3125,0.2941176470588235,0.3333333333333333,yes,0.7352941176470588,0.9615384615384616,0.5952380952380952,"The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.",0.0123051547869438,0.0045153488871409,0.009619106771702,0.0036587509029104,0.5617746,0.5992024
5,Will you keep me informed about when my insurance is about to lapse?,Yes. The New York State requires every motorist to maintain their insurance up to date so we at DMV make sure to inform you if you have any problem with your insurance.,Yes,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ",,0.0625,1.0,0.032258064516129,no,0.0,0.0,0.0,Yes,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
6,Is it needed that my address is always up to date with you guys?,"Yes, It is required. If not we won't be able to keep you informed about your insurance and we'll suspend your registration and license. You should make sure to turn in your vehicle's license plate before canceling your insurance policy",Yes,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ",,0.048780487804878,1.0,0.025,no,0.0,0.0,0.0,no,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
7,Can you tell me more about the traffic points and its cost?,"Yes. This is the system DM uses to keep a record of dangerous drivers. The cost of the DMV charge, that it's a separate charge from the DRA, depends on the total points you accumulate.","DMV maintains a point system to track dangerous drivers. Often, motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a","DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ","Often , motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a",0.2903225806451613,0.2647058823529412,0.3214285714285714,hypothesis,0.7352941176470588,0.9615384615384616,0.5952380952380952,Yes,0.0123051547869438,0.0045153488871409,0.0095350890590994,0.0036267936859733,0.5617746,0.5992024
8,It's always a hassle to bring all the required documents to the DMV Office. Please tell me an alternative.,This happens quite often with our customers when they don't bring some of the necessary documents or requirements to complete their transactions. The best you can do is to check our website to see if you can do your transaction online so you don't have to go to the DMV Office.,"Don't visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. Our award - winning website is recognized as one of the best in the nation. It has all the answers you need to efficiently perform any DMV transaction. Consider signing up for our MyDMV service,","About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing
a lost title, paying a DRA or scheduling a road test.",0.3090909090909091,0.2741935483870967,0.3541666666666667,yes,0.512396694214876,0.9117647058823528,0.3563218390804598,yes,0.0104364028393805,0.0039309792682672,0.0057122476893603,0.0023223588169299,0.62231064,0.6220053
9,"In case I have a problem with my insurance and your inquiry letter does not resolve the problem, what would happen.","In that case, we must suspend the vehicle registration and if the problem continues, your driver's license. More than 300,000 registrations a year are suspended due to failing to maintain insurance.",I would have to pay a fine.,"we must suspend the vehicle registration and ,  if it persists, your driver license!We suspend 300,000 registrations a year for failure to maintain insurance. ","We send 500,000 inquiry letters a year.",0.0588235294117647,0.1666666666666666,0.0357142857142857,it is not possible to tell,0.1481481481481481,0.3333333333333333,0.0952380952380952,it is not possible to tell,0.0522999606345228,0.0149398769191851,0.0785069137949878,0.0209121082995956,0.45327196,0.54351664
