cos_sim,cos_sim_ans
0.8418968,0.5382965
0.69031596,0.5141415
0.6558145,0.616889
0.84635806,0.6281962
0.64118636,0.6051278
0.6396651,0.53991085
0.82543147,0.53991085
0.67272055,0.6724117
0.6395751,0.59917855
0.69372797,0.52971816
0.8239614,0.52238685
0.62835085,0.6056591
0.6768001,0.56781137
0.84008515,0.55191684
0.84171975,0.52238685
0.63524395,0.52238685
0.6768001,0.62080467
0.66283786,0.36016357
0.6759343,0.53711736
0.800437,0.52238685
0.75915205,0.5627066
0.8213313,0.53385925
0.6662309,0.46991846
0.7084314,0.5375054
0.82170093,0.6011899
0.75915205,0.5431776
0.7526635,0.64501184
0.66882104,0.59640396
0.711832,0.4668119
0.6952903,0.34667832
0.7150165,0.68671954
0.712726,0.6467706
0.76994526,0.5205266
0.827652,0.439906
0.6407695,0.43798795
0.6362716,0.46052736
0.840299,0.8284533
0.7399417,0.5879514
0.70852834,0.61766076
0.7351355,0.5879514
0.8183112,0.52145386
0.7861139,0.68817365
0.7150165,0.7048578
0.75294626,0.6397885
0.77300465,0.48074323
0.7331217,0.45919055
0.82906705,0.56968075
0.879446,0.56890464
0.7150165,0.67572093
0.78401536,0.65811265
0.7453784,0.5667771
0.7196267,0.6648455
0.7551539,0.58070135
0.69432944,0.45813346
0.6641413,0.48665035
0.6337657,0.56467074
0.7571906,0.48665035
0.78264284,0.58070135
0.74998736,0.5691937
0.6045947,0.51163656
0.5822875,0.5628798
0.607703,0.5770842
0.5868638,0.5541998
0.65600586,0.6724529
0.51058745,0.5789425
0.5985164,0.5742198
0.51072955,0.56801414
0.51998794,0.5204277
0.4785663,0.4396001
0.5083192,0.34456944
0.8946619,0.9363436
0.6472719,0.50148624
0.6349433,0.6597699
0.7030591,0.4461874
0.67705965,0.50148624
0.62951994,0.49813598
0.67705965,0.5975724
0.6716071,0.57678914
0.89822185,0.9068059
0.882969,0.4012227
0.5625255,0.74138
0.59503055,0.54810107
0.51707494,0.47112206
0.4659425,0.5613506
0.5012714,0.53917503
0.5146075,0.45074818
0.51464605,0.41916734
0.5691143,0.59417766
0.59503055,0.5183917
0.46604055,0.4915559
0.75165564,0.53584105
0.7006911,0.5057076
0.66143334,0.45976055
0.6607863,0.569194
0.6483253,0.5661479
0.6633879,0.569194
0.64609706,0.569194
0.65464026,0.5678197
0.5690663,0.5508845
0.7720523,0.5645173
0.59978616,0.5595304
0.6352922,0.53138757
0.6573515,0.5347768
0.64406216,0.5308481
0.57432485,0.49632177
0.6927283,0.5166776
0.6232123,0.49421304
0.6066959,0.5308481
0.6342162,0.7202722
0.6053836,0.51732916
0.83613646,0.9264139
0.62146294,0.5303827
0.68530536,0.5183863
0.6386166,0.53183424
0.65691257,0.6163728
0.65758914,0.5183863
0.63675386,0.5809726
0.5896583,0.52455515
0.6010473,0.55653095
0.5681737,0.43942255
0.63336486,0.6117993
0.65693724,0.62192464
0.65947837,0.55033183
0.66995144,0.55033183
0.65370333,0.5970776
0.65134054,0.5556536
0.6445329,0.370924
0.66605663,0.5294964
0.59977996,0.5556536
0.62876755,0.6119315
0.86579275,0.8992391
0.8543806,0.6120655
0.7856045,0.5660479
0.79670894,0.5788454
0.78282905,0.6099352
0.86175627,0.5660479
0.77867013,0.6099352
0.7862309,0.3687355
0.6875501,0.69514203
0.81477046,0.5763412
0.8657925,0.8648008
0.68755007,0.60798943
0.8611901,0.622725
0.782829,0.53903854
0.84418833,0.80380034
0.8617562,0.5438291
0.73378724,0.56645226
0.782829,0.5788683
0.70769596,0.72058433
0.66639245,0.44307664
0.7523799,0.826092
0.5591186,0.48496234
0.7872836,0.7808927
0.67604905,0.5256522
0.70423883,0.55272186
0.68864846,0.608061
0.7872836,0.5437975
0.7732814,0.5522393
0.76418555,0.42789856
0.778487,0.5437975
0.7767248,0.66545963
0.7951721,0.5224017
0.80026615,0.4297439
0.6985936,0.5340272
0.7159606,0.5363588
0.54771996,0.58606446
0.5403651,0.41274005
0.5647938,0.31739476
0.56678,0.5340272
0.58174837,0.369471
0.72384244,0.7281392
0.65739936,0.63209003
0.617872,0.49160993
0.7081811,0.42156267
0.6932274,0.5118314
0.72384244,0.8770641
0.72384244,0.8609979
0.7081811,0.6800589
0.70478296,0.61690813
0.64567333,0.5141666
0.6541209,0.568558
0.57439643,0.48343423
0.6692503,0.659528
0.6067487,0.580221
0.59238446,0.42737085
0.6535072,0.39251179
0.7175458,0.38275814
0.65442324,0.45273185
0.6045666,0.47269255
0.56628275,0.5109994
0.7683089,0.73387545
