,question,answer,ref,doc_id,dial_id
671,Can I get new plates?,"Yes, bring a copy of MV-78B to apply for new plates.","[{'sp_id': '44', 'label': 'solution'}]",Stolen and recovered vehicles#3_0,774a40ce2a5edd3b402199f4fc5d52ca
3698,yeah,"Okay, you will have to contact a surety insurance company. Make sure that the business name and mailing address on the bond exactly match the business name and mailing address on your DMV facility license. Also, make sure that you write your Facility Number on the bond. ","[{'sp_id': '28', 'label': 'solution'}, {'sp_id': '29', 'label': 'solution'}, {'sp_id': '30', 'label': 'solution'}]",General information for dealers and transporters#3_0,344912b5bb8a528ddc4e5c52d1b7cfa4
791,what do i need for additional tests?,have a valid learner permit or driver license,"[{'sp_id': '72', 'label': 'solution'}, {'sp_id': '74', 'label': 'solution'}, {'sp_id': '75', 'label': 'solution'}]",Schedule and take a road test#1_0,b5818642ef241562bd4d89ae2f3d292b
3953,What if I don't have a driver's license?,"Although you do not have a driver license, you are still required to pay the driver responsibility assessment.","[{'sp_id': '12', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,72c2f359094066c0c0168901202f9c85
822,"No, neither.",Have you attended any hearing?,"[{'sp_id': '34', 'label': 'precondition'}]",Traffic Violations Bureau#3_0,21ce6a9c9911d1e9019df356167021a2
3265,Is it possible to order plates on the phone?,"Yes, it is possible to order custom plates online at 1-518-402-4838 Monday through Friday 8 a.m. to 4 p.m.; but online is a lot faster.","[{'sp_id': '41', 'label': 'solution'}, {'sp_id': '42', 'label': 'solution'}, {'sp_id': '43', 'label': 'solution'}]",Order picture and professional plates#1_0,8a08cabbf4b4c61381de4ef3c47ef32d
1458,How do you get an ignition interlock device installed?,The court will give you a list of vendors who install them.,"[{'sp_id': '28', 'label': 'solution'}, {'sp_id': '29', 'label': 'solution'}]",Leandra's Law & ignition interlock devices#3_0,d9510bd14dcdf46fba96dc55338e2c2d
2348,"can you give me details of Vehicle registration and title
",do you want to change your name?,"[{'sp_id': '75', 'label': 'precondition'}]",How to change information on DMV documents#3_0,af78ef55e4fafd53a3f24227d5a8ec9f
1986,Hello I need information about How to Verify a Title or Lien Status,do you want to do it online?,"[{'sp_id': '2', 'label': 'precondition'}]",How to check a title or lien status#1_0,da1560de700a666763b6c2246bd58e02
902,"yes, how long will the restriction be?",it remains in effect for 5 years from the date you receive your drivers licence.,"[{'sp_id': '31', 'label': 'solution'}]",About problem driver restrictions#3_0,60bc244ff9939fb6824d60b85c8f58bf
