,question,answer,model_answer,true_ref_str,retrived_doc,answer_f1,answer_prec,answer_recall,autoais_retrevied(model_answer),att_f1,att_prec,att_recall,autoais_true_answer,ref_range,BLEU,ROUGHLS,BLEU_ANS,ROUGHLS_ANS,cos_sim,cos_sim_ans
0,"Hello, I forgot o update my address, can you help me with that?","hi, you have to report any change of address to DMV within 10 days after moving. You should do this both for the address associated with your license and all the addresses associated with all your vehicles.",Sure,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ",1. Forgetting to Update Address,0.0,0.0,0.0,no,0.0999999999999999,0.4,0.0571428571428571,yes,"[(346, 416), (416, 567)]",0.0627950163720841,0.0171811647112929,0.4204482076268572,0.080324235179392,0.57928914,0.5280258
1,Can I do my DMV transactions online?,"Yes, you can sign up for MyDMV for all the online transactions needed.",no,Sign up or log into MyDMV [6 ] ,"renewal or not having the proof of auto insurance required to register a car. Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing",0.0,0.0,0.0,no,0.0444444444444444,0.0263157894736842,0.1428571428571428,yes,"[(4496, 4527)]",0.0077919324133821,0.0029750393592809,0.5946035575013605,0.080324235179392,0.63087416,0.5248325
2,"Thanks, and in case I forget to bring all of the documentation needed to the DMV office, what can I do?",This happens often with our customers so that's why our website and MyDMV are so useful for our customers. Just check if you can make your transaction online so you don't have to go to the DMV Office.,I can do the following,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ",5. Not Bringing Proper Documentation to DMV Office,0.048780487804878,0.25,0.027027027027027,no,0.1052631578947368,0.625,0.057471264367816,no,"[(3714, 3888), (3888, 4042), (4055, 4268)]",0.0418286448568372,0.0124945432490117,0.0910978958531214,0.0232933443241434,0.60319597,0.55734247
3,"Ok, and can you tell me again where should I report my new address?","Sure. Any change of address must be reported to the DMV, that's for the address associated with your license and any of your vehicles.",United States Postal Service,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ","sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket. If you fail to keep your address current , you will miss a suspension order and may",0.0,0.0,0.0,yes,0.1866666666666666,0.175,0.2,yes,"[(346, 416), (416, 567)]",0.0088215546092047,0.003368159627175,0.0710180453986169,0.0190523898752206,0.75159574,0.4349879
4,Can you tell me more about Traffic points and their cost?,"Traffic points is the system used by DMV to track dangerous drivers. The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.",Traffic points are a type of point that is used to connect vehicles to the interstate system,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",4. Understanding how Much Traffic Points Cost,0.3111111111111111,0.4666666666666667,0.2333333333333333,yes,0.0816326530612244,0.2857142857142857,0.0476190476190476,"The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.","[(2919, 2976), (2984, 3226)]",0.0465566353581798,0.0136492307209053,0.0231762202696277,0.0076621783647444,0.53052664,0.5012464
5,Will you keep me informed about when my insurance is about to lapse?,Yes. The New York State requires every motorist to maintain their insurance up to date so we at DMV make sure to inform you if you have any problem with your insurance.,turn in your plates,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ","possible mail correspondence can reach you. Also , turning in your plates is important to avoid an insurance lapse.",0.0571428571428571,0.25,0.032258064516129,yes,0.1481481481481481,0.2352941176470588,0.1081081081081081,Yes,"[(1796, 1870), (1870, 1978), (1978, 2065)]",0.0187374324331829,0.0064118010894562,0.1041546541060196,0.0258414279079682,0.6149189,0.61633885
6,Is it needed that my address is always up to date with you guys?,"Yes, It is required. If not we won't be able to keep you informed about your insurance and we'll suspend your registration and license. You should make sure to turn in your vehicle's license plate before canceling your insurance policy",no,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ",1. Forgetting to Update Address,0.0,0.0,0.0,no,0.0,0.0,0.0,yes,"[(2520, 2573), (2573, 2624), (2624, 2724)]",0.0627950163720841,0.0171811647112929,0.5946035575013605,0.080324235179392,0.57928914,0.5248325
7,Can you tell me more about the traffic points and its cost?,"Yes. This is the system DM uses to keep a record of dangerous drivers. The cost of the DMV charge, that it's a separate charge from the DRA, depends on the total points you accumulate.",4. Understanding how much Traffic Points Cost,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",4. Understanding how Much Traffic Points Cost,0.1142857142857143,0.2857142857142857,0.0714285714285714,yes,0.0816326530612244,0.2857142857142857,0.0476190476190476,Yes,"[(2919, 2976), (2984, 3226)]",0.0465566353581798,0.0136492307209053,0.0465566353581798,0.0136492307209053,0.53052664,0.519884
8,It's always a hassle to bring all the required documents to the DMV Office. Please tell me an alternative.,This happens quite often with our customers when they don't bring some of the necessary documents or requirements to complete their transactions. The best you can do is to check our website to see if you can do your transaction online so you don't have to go to the DMV Office.,online,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","renewal or not having the proof of auto insurance required to register a car. Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing",0.0408163265306122,1.0,0.0208333333333333,no,0.5439999999999999,0.8947368421052632,0.3908045977011494,yes,"[(3714, 3888), (3888, 4042), (4055, 4268)]",0.0093478700718501,0.0035691122450493,0.2886751345948128,0.0562152518127277,0.63087416,0.45875385
9,"In case I have a problem with my insurance and your inquiry letter does not resolve the problem, what would happen.","In that case, we must suspend the vehicle registration and if the problem continues, your driver's license. More than 300,000 registrations a year are suspended due to failing to maintain insurance.",I would have to pay a higher rate,"we must suspend the vehicle registration and ,  if it persists, your driver license!We suspend 300,000 registrations a year for failure to maintain insurance. ","insurance coverage , and we know when coverage is dropped for any reason. When that happens , we mail you an insurance inquiry letter to allow you to clear up the problem. We send 500,000 inquiry letters a year. If the inquiry letter does not",0.0571428571428571,0.1428571428571428,0.0357142857142857,it is not possible to tell,0.2333333333333333,0.1794871794871795,0.3333333333333333,suspension,"[(2309, 2356), (2356, 2467)]",0.009268730359619,0.0035254807308984,0.0629835799963481,0.0174392928537681,0.5205504,0.50546086
10,I moved recently and forgot to update my address. Could this be a problem?,"Yes, by statute, you have to report a change of address to DMV before ten days after moving.",Yes,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ",1. Forgetting to Update Address,0.1111111111111111,1.0,0.0588235294117647,yes,0.0999999999999999,0.4,0.0571428571428571,yes,"[(346, 416), (416, 567)]",0.0627950163720841,0.0171811647112929,0.537284965911771,0.0954120756313892,0.57928914,0.522387
11,Is it common to delay a transaction due to forgetting any prerequisite when going to the DMV office? what could be the alternative?,"Yes. Around 10% of our customers forget some of the pre-requisites when going to a DMV office. To avoid this, you could check on the DMV website to see if you can do your transaction online.",ten percent,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business. This can be as simple as not bringing sufficient funds to pay for a license",0.0,0.0,0.0,yes,0.5692307692307692,0.8604651162790697,0.425287356321839,yes,"[(3714, 3888), (3888, 4042), (4055, 4268)]",0.0094274335864821,0.0035994904073632,0.1592273033665904,0.0351312317072638,0.57869023,0.45843735
12,What if the inquiry letter you send to me doesn't resolve the problem with my insurance?,"In that case, we must suspend the vehicle registration and if the problem persists, your driver's license. This happens quite often a year due to failing to maintain insurance.",I will have to pay a higher rate,"we must suspend the vehicle registration and ,  if it persists, your driver license!We suspend 300,000 registrations a year for failure to maintain insurance. ","insurance coverage , and we know when coverage is dropped for any reason. When that happens , we mail you an insurance inquiry letter to allow you to clear up the problem. We send 500,000 inquiry letters a year. If the inquiry letter does not",0.0606060606060606,0.1428571428571428,0.0384615384615384,it is not possible to tell,0.2333333333333333,0.1794871794871795,0.3333333333333333,suspension,"[(2309, 2356), (2356, 2467)]",0.009268730359619,0.0035254807308984,0.062998047340818,0.0173416008488639,0.5205504,0.5069642
13,What could happen if I forget to update my new address with you guys?,If you move and don't update your address who won't know about any insurance problem and we'll have to suspend your registration and license.,I will be charged for the service,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ",1. Forgetting to Update Address,0.0,0.0,0.0,it is not possible to tell,0.0,0.0,0.0,it is not possible to tell,"[(2520, 2573), (2573, 2624), (2624, 2724)]",0.0627950163720841,0.0171811647112929,0.0638900515137271,0.0176902824332123,0.57928914,0.45436668
14,Can I leave the state without notifying DMV?,Thanks to the communications between states you can resolve any previous problem you have in New York State before registering in the new state.,2.,"States communicate with each other ,  so when you move to another state, be sure to tie up any loose ends regarding your New York State license or registration.  That means resolving any unanswered tickets, suspensions or revocations, and surrendering your license plates to NYS when you get to your new home state. ",2. Leaving the State Without Notifying DMV,0.0,0.0,0.0,yes,0.0344827586206896,0.1666666666666666,0.0192307692307692,yes,"[(1151, 1188), (1188, 1311), (1311, 1465)]",0.0477185465989055,0.0138169302255537,0.5,0.067544361420347,0.65942514,0.4421135
15,Can you keep me up to date with my insurance so it doesn't lapse?,"The New York State requires every motorist to maintain auto insurance always that a vehicle is registered, due to that, DMV works with insurance companies to monitor your insurance coverage and keep you informed.",turn in your plates,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ","possible mail correspondence can reach you. Also , turning in your plates is important to avoid an insurance lapse.",0.0555555555555555,0.25,0.03125,yes,0.1481481481481481,0.2352941176470588,0.1081081081081081,yes,"[(1796, 1870), (1870, 1978), (1978, 2065)]",0.0187374324331829,0.0064118010894562,0.1041546541060196,0.0258414279079682,0.6149189,0.58259296
16,How would you contact me about any insurance problem?,After knowing about the problem we will send you a mail with an insurance inquiry letter to allow you to solve the problem.,an insurance inquiry letter,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ","insurance coverage , and we know when coverage is dropped for any reason. When that happens , we mail you an insurance inquiry letter to allow you to clear up the problem. We send 500,000 inquiry letters a year. If the inquiry letter does not",0.2727272727272727,1.0,0.1578947368421052,yes,0.1578947368421052,0.1538461538461538,0.1621621621621621,yes,"[(1796, 1870), (1870, 1978), (1978, 2065)]",0.009268730359619,0.0035254807308984,0.0723728402702922,0.01927815781466,0.5205504,0.39972028
17,tell me about the cost of traffic points.,the charge you get from DMV is based on how many points you have accumulated.,4.,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",4. Understanding how Much Traffic Points Cost,0.0,0.0,0.0,yes,0.0816326530612244,0.2857142857142857,0.0476190476190476,yes,"[(2919, 2976), (2984, 3226)]",0.0465566353581798,0.0136492307209053,0.5,0.067544361420347,0.53052664,0.44428587
18,tell me about the documentation I should bring when going to a DMV office.,"Since many of our customers tend to forget some document or requirement for their transactions, we recommend that you go first to our website to see if you can do your transaction online, that way you can avoid any hassle from going to the DMV Office.",not bringing Proper Documentation,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ",5. Not Bringing Proper Documentation to DMV Office,0.0,0.0,0.0,yes,0.1052631578947368,0.625,0.057471264367816,no,"[(3714, 3888), (3888, 4042), (4055, 4268)]",0.0418286448568372,0.0124945432490117,0.0599994294992758,0.0166130223489607,0.60319597,0.45408297
19,Would there be a problem if I leave the state without notifying DMV?,"You should resolve any pending problem you have here before moving to another state, if you not, you could not get a new license in your new home state.",Yes,A license suspension or revocation here could mean that your new home state will not issue you a license there.  it is important to notify DMV of your new address so that any possible mail correspondence can reach you.  turning in your plates is important to avoid an insurance lapse. ,2. Leaving the State Without Notifying DMV,0.0,0.0,0.0,yes,0.0754716981132075,0.3333333333333333,0.0425531914893617,yes,"[(1465, 1577), (1588, 1694), (1701, 1766)]",0.0492353039261401,0.0142561081061302,0.537284965911771,0.0954120756313892,0.65942514,0.522387
20,Tell me about what can I do to not let my insurance lapse.,"Since we work with the insurance company to make sure that all the vehicles maintain their insurances properly and according to the New York State requirements, we sill inform you of any problems with your insurance coverage. ",Turning in your plates,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ","possible mail correspondence can reach you. Also , turning in your plates is important to avoid an insurance lapse.",0.0526315789473684,0.25,0.0294117647058823,yes,0.1481481481481481,0.2352941176470588,0.1081081081081081,yes,"[(1796, 1870), (1870, 1978), (1978, 2065)]",0.0187374324331829,0.0064118010894562,0.0910978958531214,0.0232933443241434,0.61522424,0.5070751
21,What if I cancel my insurance policy?,you have to turn in your vehicle's license plates at DMV.,suspension of your registration and license,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ","that you have an insurance problem , and we will suspend your registration and license. Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. Insurance policies must be from a company licensed in New",0.2352941176470588,0.3333333333333333,0.1818181818181818,yes,0.64,0.6,0.6857142857142857,yes,"[(2520, 2573), (2573, 2624), (2624, 2724)]",0.0094179729917931,0.0035881380672888,0.0457919875866244,0.0133156982288275,0.69414085,0.49730802
22,"I more often than not tend to forget one or some of the documents needed for my transaction at the DMV Office, please tell me, is there another way to do my DMV transactions?","Yes, before going to the DMV office you should check our website to see if you can do your transaction online.",no,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business. This can be as simple as not bringing sufficient funds to pay for a license",0.0,0.0,0.0,yes,0.5692307692307692,0.8604651162790697,0.425287356321839,it is not possible to tell,"[(3714, 3888), (3888, 4042), (4055, 4268)]",0.0094274335864821,0.0035994904073632,0.5946035575013605,0.080324235179392,0.6136581,0.5405623
23,Can I just write my new address in the back of my license if I haven't updated my address at the DMV?,"No, by statute, you must update your address at the DMV whenever you move from your registered address. It's not enough to just write the new address in the back of your license, or inform an officer when getting a ticket, or tell the United States Postal Service.",no,It is not sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket. ,"sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket. If you fail to keep your address current , you will miss a suspension order and may",0.0465116279069767,1.0,0.0238095238095238,no,0.7058823529411764,0.6,0.8571428571428571,no,"[(567, 743)]",0.0094274335864821,0.0035994904073632,0.5946035575013605,0.080324235179392,0.6221588,0.5405623
24,How will you contact me about a problem with my insurance?,"When we detect any problem with your insurance, we'll mail you an insurance inquiry letter to let you resolve the problem.",an insurance inquiry letter,we mail you an insurance inquiry letter to allow you to clear up the problem. ,"insurance coverage , and we know when coverage is dropped for any reason. When that happens , we mail you an insurance inquiry letter to allow you to clear up the problem. We send 500,000 inquiry letters a year. If the inquiry letter does not",0.2727272727272727,1.0,0.1578947368421052,yes,0.4230769230769231,0.282051282051282,0.8461538461538461,yes,"[(2138, 2216)]",0.0087658239637227,0.0033341938189495,0.0723728402702922,0.01927815781466,0.6090608,0.5573439
25,Can you help me with how to avoid the lapse of my insurance?,DMV is always in contact with insurance companies to electronically monitor your insurance coverage and comply with the New York State requirements.,Turning in your plates,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ","possible mail correspondence can reach you. Also , turning in your plates is important to avoid an insurance lapse.",0.16,0.5,0.0952380952380952,yes,0.1481481481481481,0.2352941176470588,0.1081081081081081,no,"[(1796, 1870), (1870, 1978), (1978, 2065)]",0.0187374324331829,0.0064118010894562,0.0910978958531214,0.0232933443241434,0.61522424,0.5070751
26,Can I just notify the United States Postal Service about a change of address or do I have to update this info with the DMV too?,You have to keep your address up to date in the DMV. It is not enough to inform the US Postal Service.,notify the United States Postal Service,It is not sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket. ,"sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket. If you fail to keep your address current , you will miss a suspension order and may",0.16,0.4,0.1,yes,0.7058823529411764,0.6,0.8571428571428571,no,"[(567, 743)]",0.0094274335864821,0.0035994904073632,0.0545958669290904,0.0155957198116592,0.6221588,0.5101684
27,Tell me about the mistake of not bringing the proper documentation to a DMV office.,"Around 10% of our customers that visit a DMV office, forget to bring all of the requirements for their transactions. Before going to a DMV Office you should see if your transaction can be performed online, like an address change, registration renewal, and more. This way you can avoid going to a DMV Office.",The DMV office is not required to have the documents,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ",5. Not Bringing Proper Documentation to DMV Office,0.1052631578947368,0.375,0.0612244897959183,no,0.1052631578947368,0.625,0.057471264367816,yes,"[(3714, 3888), (3888, 4042), (4055, 4268)]",0.0418286448568372,0.0124945432490117,0.0417751585407163,0.0125645746147724,0.5613429,0.5392816
28,what could happen in case I don't update my address in the DMV?,"first, is not enough to update your address with a third party, you should keep your address updated in the DMV, if not, you could miss a suspension order and may be charged with operating an unregistered vehicle.",I will be charged a late fee,It is not sufficient to only: write your new address on the back of your old license; tell the United States Postal Service; or inform the police officer writing you a ticket. ,1. Forgetting to Update Address,0.1,0.3333333333333333,0.0588235294117647,will be charged a late fee,0.1212121212121212,0.4,0.0714285714285714,suspension order,"[(567, 743)]",0.0639692632469867,0.0175024470380604,0.0710180453986169,0.0190523898752206,0.5594108,0.44159478
29,Tell me about the costs of traffic points.,the cost of the charge you can get from the DMV due to a traffic violation varies according your accumulated traffic points.,4. Understanding how much Traffic Points Cost,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",4. Understanding how Much Traffic Points Cost,0.24,0.4285714285714285,0.1666666666666666,yes,0.0816326530612244,0.2857142857142857,0.0476190476190476,yes,"[(2919, 2976), (2984, 3226)]",0.0465566353581798,0.0136492307209053,0.0458960902044774,0.0134555755494115,0.5797582,0.50289345
30,What else could happen if I don't update my address with you guys?.,You won't learn about any insurance problem and we'll suspend your registration and license.,I will be charged for the service,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ",1. Forgetting to Update Address,0.0,0.0,0.0,it is not possible to tell,0.0,0.0,0.0,no,"[(2520, 2573), (2573, 2624), (2624, 2724)]",0.0627950163720841,0.0171811647112929,0.0599994294992758,0.0166130223489607,0.52383626,0.53200376
31,Is it that important to update my address at the DMV?,"By statute, you must always report any change of address to the DMV within 10 days of moving. This applies for the address associated with your license and all addresses associated with your registered vehicles.",no,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ","By statute , you must report a change of address to DMV within ten days of moving. That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. It is not",0.0,0.0,0.0,no,0.7999999999999999,0.75,0.8571428571428571,no,"[(346, 416), (416, 567)]",0.0094097850338643,0.0035811029471977,0.5946035575013605,0.080324235179392,0.6504868,0.52870476
32,Do I have only 10 days to report a change of address?,"Yes, this is required by law. You have to report your new address within ten days of moving.",no,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ","By statute , you must report a change of address to DMV within ten days of moving. That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. It is not",0.0,0.0,0.0,no,0.7999999999999999,0.75,0.8571428571428571,yes,"[(346, 416), (416, 567)]",0.0094097850338643,0.0035811029471977,0.5946035575013605,0.080324235179392,0.6504868,0.52870476
33,How often do you send inquiry letters?,We send about 500.000 inquiry letters per year.,"500,000","We send 500,000 inquiry letters a year. ","insurance coverage , and we know when coverage is dropped for any reason. When that happens , we mail you an insurance inquiry letter to allow you to clear up the problem. We send 500,000 inquiry letters a year. If the inquiry letter does not",0.2222222222222222,1.0,0.125,yes,0.2666666666666667,0.1538461538461538,1.0,yes,"[(2216, 2256)]",0.0085379453811705,0.0032475172709649,0.1920561263749893,0.0384819674608726,0.63233185,0.36316523
34,I want to know about the traffic points cost.,The points is the system used for the DMV to keep track of dangerous drivers. The amount you pay from a DMV charge for a traffic ticket depends on the number of accumulated points.,How much traffic points cost,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ",4. Understanding how Much Traffic Points Cost,0.125,0.4,0.074074074074074,yes,0.0816326530612244,0.2857142857142857,0.0476190476190476,yes,"[(2919, 2976), (2984, 3226)]",0.0465566353581798,0.0136492307209053,0.0710180453986169,0.0190523898752206,0.48881298,0.4551513
35,Isn't the DMV charge included in the DRA charge?,"No, the DRA and DMV charge are separate charges.",$300,"DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ","separate DMV charge based on the total points they accumulate. The $300 DRA fee can be paid in $100 annual installments over three years. Motorists who fail to maintain an updated address with DMV may resolve their tickets with the court, but never",0.0,0.0,0.0,no,0.3950617283950616,0.4102564102564102,0.3809523809523809,yes,"[(2919, 2976), (2984, 3226)]",0.0094655631701869,0.0036121159698849,0.0,0.0,0.5910722,0.30817148
36,What if I have an insurance problem and the inquiry letter does not resolve it?,"In that case, we have to suspend the vehicle registration and, if the problem persists, your license.",I will have to pay a higher rate,"we must suspend the vehicle registration and ,  if it persists, your driver license!We suspend 300,000 registrations a year for failure to maintain insurance. ","insurance coverage , and we know when coverage is dropped for any reason. When that happens , we mail you an insurance inquiry letter to allow you to clear up the problem. We send 500,000 inquiry letters a year. If the inquiry letter does not",0.1818181818181818,0.2857142857142857,0.1333333333333333,it is not possible to tell,0.2333333333333333,0.1794871794871795,0.3333333333333333,it is not possible to tell,"[(2309, 2356), (2356, 2467)]",0.009268730359619,0.0035254807308984,0.062998047340818,0.0173416008488639,0.63233185,0.5391649
37,"Hello, I recently moved with my family and I forgot to Update my address. I read an article about the Top 5 DMV mistakes people do, and figured out it'd be a problem if I don't update it. What can I do?","Hello. First, you have to report a change of address to DMV within ten days of having moved, for both the address associated with your license and all the addresses associated with each vehicle you have. ",I can call the DMV,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ",1. Forgetting to Update Address,0.054054054054054,0.25,0.0303030303030303,no,0.0999999999999999,0.4,0.0571428571428571,yes,"[(346, 416), (416, 567)]",0.0627950163720841,0.0171811647112929,0.1056987113962661,0.0259303146233907,0.52383626,0.57824427
