cos_sim,cos_sim_ans
0.57928914,0.5280258
0.63087416,0.5248325
0.60319597,0.55734247
0.75159574,0.4349879
0.53052664,0.5012464
0.6149189,0.61633885
0.57928914,0.5248325
0.53052664,0.519884
0.63087416,0.45875385
0.5205504,0.50546086
0.57928914,0.522387
0.57869023,0.45843735
0.5205504,0.5069642
0.57928914,0.45436668
0.65942514,0.4421135
0.6149189,0.58259296
0.5205504,0.39972028
0.53052664,0.44428587
0.60319597,0.45408297
0.65942514,0.522387
0.61522424,0.5070751
0.69414085,0.49730802
0.6136581,0.5405623
0.6221588,0.5405623
0.6090608,0.5573439
0.61522424,0.5070751
0.6221588,0.5101684
0.5613429,0.5392816
0.5594108,0.44159478
0.5797582,0.50289345
0.52383626,0.53200376
0.6504868,0.52870476
0.6504868,0.52870476
0.63233185,0.36316523
0.48881298,0.4551513
0.5910722,0.30817148
0.63233185,0.5391649
0.52383626,0.57824427
0.6504868,0.6813762
0.6371928,0.5850528
0.741179,0.50180835
0.93749154,0.7380186
0.5238363,0.52717304
0.6919775,0.48136318
0.741179,0.48136318
0.65048677,0.48099613
0.63233185,0.5247929
0.741179,0.5744462
0.5238363,0.5218822
0.5238363,0.53663236
0.54556876,0.5420614
0.5262204,0.50469226
0.54556876,0.463772
0.61115795,0.45813346
0.48400584,0.49007705
0.5922056,0.59756553
0.62430394,0.49007705
0.59023184,0.56022847
0.79332644,0.5009633
0.557523,0.49007705
0.46992174,0.6716976
0.47815594,0.46801126
0.47815594,0.5683654
0.46992174,0.6973436
0.49416566,0.50538695
0.5988554,0.4864323
0.47815594,0.56568146
0.5046532,0.43262032
0.41649035,0.43262032
0.4462561,0.3836072
0.61533964,0.65241814
0.4725724,0.50148636
0.4725724,0.579992
0.60887253,0.44596952
0.41039684,0.48767135
0.5731197,0.44154608
0.41039684,0.36499882
0.41039684,0.36499882
0.5731197,0.58954126
0.6122531,0.49299344
0.54099715,0.6237589
0.54099715,0.6987014
0.47855037,0.49222395
0.41065085,0.5377956
0.44025135,0.45156145
0.47855037,0.42952955
0.49306646,0.46853247
0.54099715,0.63919294
0.54099715,0.6313367
0.43596956,0.4813943
0.8153935,0.7202721
0.60732055,0.5057077
0.4621058,0.5249535
0.4621058,0.58014023
0.60269547,0.5691941
0.5924318,0.58014023
0.5517695,0.58014023
0.54964626,0.58014023
0.49677163,0.4739449
0.8153935,0.58014023
0.61533964,0.6246434
0.60569674,0.5313875
0.60887253,0.56278044
