cos_sim,cos_sim_ans
0.8418968,0.6281962
0.69031596,0.70283145
0.6558145,0.6168889
0.84635806,0.6281962
0.64118636,0.5870445
0.6396651,0.6281962
0.82543147,0.5000001
0.67272055,0.45239937
0.6395751,0.5998607
0.69372797,0.6009859
0.8239614,0.522387
0.62835085,0.6056591
0.6768001,0.59863895
0.84008515,0.50935525
0.84171975,0.4421135
0.63524395,0.6208046
0.6768001,0.39972028
0.66283786,0.44301736
0.6759343,0.41437814
0.800437,0.5581462
0.75915205,0.5072259
0.8213313,0.4975996
0.6662309,0.46991846
0.7084314,0.50733435
0.82170093,0.5573439
0.75915205,0.5049446
0.7526635,0.50733435
0.66882104,0.51966846
0.711832,0.45334578
0.6952903,0.27529302
0.7150165,0.6135434
0.712726,0.45036453
0.76994526,0.52052665
0.827652,0.36316523
0.6407695,0.4077447
0.6362716,0.545171
0.840299,0.7497705
0.7399417,0.5777223
0.70852834,0.6135434
0.7351355,0.5777223
0.8183112,0.5687661
0.7861139,0.88974094
0.7150165,0.6397885
0.75294626,0.7009563
0.77300465,0.66843617
0.7331217,0.57172406
0.82906705,0.49250412
0.879446,0.8245102
0.7150165,0.65576744
0.78401536,0.65576744
0.7453784,0.82878745
0.7196267,0.7100091
0.7551539,0.83992743
0.69432944,0.47751775
0.6641413,0.42225757
0.6337657,0.46849176
0.7571906,0.80379534
0.78264284,0.8106364
0.74998736,0.58318365
0.6045947,0.46920085
0.5822875,0.57374156
0.607703,0.5390658
0.5868638,0.5390658
0.65600586,0.6108686
0.51058745,0.50538707
0.5985164,0.515668
0.51072955,0.56568134
0.51998794,0.5133822
0.4785663,0.35964802
0.5083192,0.34456944
0.8946619,0.93634367
0.6472719,0.50983703
0.6349433,0.59295565
0.7030591,0.44596946
0.67705965,0.50148624
0.62951994,0.38938847
0.67705965,0.5803803
0.6716071,0.44596946
0.89822185,0.93634367
0.882969,0.49299347
0.5625255,0.74138
0.59503055,0.53309774
0.51707494,0.47062647
0.4659425,0.5613506
0.5012714,0.44808704
0.5146075,0.42878738
0.51464605,0.42165688
0.5691143,0.5161898
0.59503055,0.47558165
