cos_sim,cos_sim_ans
0.65147585,0.51413417
0.57934463,0.5248325
0.6494772,0.622009
0.4462557,0.4777968
0.4462557,0.44961318
0.65942514,0.6281962
0.65147585,0.5248325
0.92846686,0.49881852
0.6455183,0.62642765
0.5792891,0.49494857
0.57934463,0.51525104
0.92846686,0.51525104
0.6149189,0.582593
0.4462557,0.50724447
0.5536803,0.50747454
0.57934463,0.4981323
0.6149189,0.45349973
0.6455183,0.39610407
0.4462557,0.40206692
0.60319597,0.50747454
0.9251821,0.6351902
0.63597596,0.5330905
0.6966639,0.5210991
0.6655352,0.5405623
0.51722527,0.4742626
0.9251821,0.52661294
0.6241476,0.5405623
0.61522424,0.53689766
0.51722527,0.6084492
0.58814514,0.42129195
0.696328,0.64254165
0.612795,0.5925694
0.6869835,0.5287048
0.48881295,0.4771548
0.48881295,0.4551513
0.71324295,0.5287048
0.5238364,0.6323966
0.61997026,0.5016134
0.6869835,0.6377142
0.612795,0.58262575
0.696328,0.7006017
0.878482,0.8897409
0.48881298,0.53780794
0.741179,0.48136318
0.696328,0.48136318
0.5238363,0.49620962
0.5749799,0.45545527
0.878482,0.8755904
0.696328,0.65576744
0.5749799,0.54851925
0.652195,0.68082184
0.62526506,0.59466827
0.6354488,0.6002529
0.59483826,0.42067468
0.48400584,0.49007705
0.7033212,0.53360766
0.48400584,0.49007705
0.48400584,0.53572553
0.59023184,0.5379576
0.5134028,0.49007705
0.54106796,0.53899837
0.53747755,0.44101194
0.49561912,0.5683654
0.53747755,0.49801302
0.502807,0.50538695
0.5171818,0.49600524
0.48778582,0.53899837
0.49561912,0.4620413
0.4541698,0.3596479
0.60001206,0.4135545
0.52149963,0.5348454
0.7622343,0.4876715
0.5730498,0.4219246
0.616807,0.6002853
0.58016574,0.4876715
0.62020886,0.4465763
0.57763803,0.49567068
0.5730498,0.38532048
0.57763803,0.5578934
0.9457751,0.42186698
0.5400105,0.6260305
0.5083772,0.6393564
0.47793332,0.4672244
0.5188648,0.52867657
0.47793332,0.44953597
0.48089835,0.51306534
0.5188648,0.40224606
0.5551652,0.6058458
0.5400105,0.52537936
0.47855031,0.4612279
0.5488229,0.5784544
0.6200329,0.5057077
0.5637545,0.52973807
0.80973274,0.51397467
0.5275658,0.54387677
0.80766463,0.58014023
0.49677172,0.58014023
0.6200329,0.3864887
0.5769871,0.5376692
0.5686292,0.58014023
0.62020886,0.67989546
0.616807,0.5313875
0.616807,0.6097688
0.6065015,0.53084826
0.5847206,0.5197286
0.58016574,0.5387735
0.6365609,0.5209738
0.540582,0.53084826
0.58016574,0.5313875
0.5730498,0.49293035
0.54058206,0.5122125
0.44157583,0.49355802
0.59225154,0.5122125
0.5160937,0.5122125
0.60650146,0.5102002
0.59547234,0.495077
0.51685846,0.6285374
0.51685846,0.5122125
0.5301641,0.515115
0.56115294,0.47524554
0.6642859,0.6136483
0.6095871,0.5490335
0.60244703,0.6117708
0.5993885,0.52900875
0.6820983,0.5428665
0.5452677,0.550332
0.6820983,0.46045452
0.60244703,0.6104637
0.7079211,0.52900875
0.6510786,0.52900875
0.7984402,0.8856875
0.73594743,0.6534891
0.7270429,0.56605977
0.7984402,0.45184568
0.65647244,0.5660478
0.7270429,0.6375935
0.65647244,0.5660478
0.8843155,0.35609737
0.5570076,0.56605977
0.73594743,0.56605977
0.7122396,0.5578876
0.8843155,0.5578876
0.57579494,0.5373716
0.7359474,0.4075138
0.72704285,0.6033534
0.6112207,0.569838
0.76007295,0.41462535
0.8843155,0.3857775
0.76007295,0.5390478
0.5570076,0.39132166
0.63669467,0.6258489
0.63669467,0.53503114
0.6150741,0.58149874
0.6147891,0.47231597
0.63669467,0.57743984
0.686666,0.46967083
0.5325749,0.48802614
0.686666,0.63445455
0.9666258,0.8756514
0.9666258,0.53503114
0.7832986,0.5763907
0.69141597,0.516066
0.67135346,0.57948303
0.6871788,0.5354041
0.6589871,0.5340272
0.51733476,0.47399682
0.501703,0.41430312
0.54394215,0.3173947
0.6476663,0.516066
0.51733476,0.39152655
0.68269116,0.6062099
0.63403773,0.572543
0.59598446,0.49161002
0.41878217,0.39929998
0.66758955,0.40492845
0.7431159,0.41127378
0.66758955,0.50667393
0.6995798,0.6338035
0.68269116,0.36919245
0.68269116,0.6085182
0.5202111,0.446967
0.54326683,0.48450017
0.57766306,0.542971
0.538653,0.4258387
0.57796943,0.45356464
0.6935178,0.5208006
0.538653,0.4258387
0.6935178,0.56365246
0.57766306,0.5314175
0.5202111,0.37539688
0.79854953,0.51619947
0.68269116,0.47617316
0.6995798,0.4247442
0.79854953,0.3760264
0.41878217,0.42369193
0.6995798,0.47414088
0.7431159,0.6004604
0.68269116,0.60483086
0.63403773,0.641116
0.66758955,0.641116
0.7201606,0.63207585
0.89516103,0.5564287
0.69604623,0.6134454
0.5953509,0.41001382
0.5953509,0.40128392
0.6429877,0.46644711
0.7201606,0.6631738
0.6429877,0.6764189
0.6640614,0.65785813
0.7201606,0.65785813
0.66049486,0.525434
0.66049486,0.4317661
0.78251284,0.51370186
0.5890198,0.3936662
0.78251284,0.51370186
0.78251284,0.39899802
0.72154546,0.4939761
0.7157984,0.47003257
0.66049486,0.51370186
0.7157984,0.45022845
0.6318371,0.44034755
0.7110603,0.71609074
0.52510333,0.4939748
0.6524434,0.50861275
0.57817686,0.5076939
0.6238819,0.41938514
0.6238819,0.6309675
0.6238819,0.46928778
0.6073367,0.76364404
0.54964846,0.50861275
0.5024001,0.45860726
0.8621576,0.6081284
0.5024001,0.5223836
0.708608,0.5351911
0.7716119,0.5317693
0.83012116,0.49697635
0.805545,0.5311627
0.7716119,0.48246062
0.78797084,0.5351911
0.7623826,0.6031236
0.64929116,0.6565285
0.6323482,0.52543664
0.61703116,0.52543664
0.6262536,0.5221218
0.6323482,0.50108576
0.64929116,0.5221218
0.6385726,0.52543664
0.77953863,0.6796142
0.51854986,0.5221218
0.7890644,0.7175763
0.7253789,0.5243479
0.7253789,0.5908899
0.804268,0.5243479
0.529423,0.5276166
0.61385745,0.5243479
0.5832716,0.5139551
0.529423,0.5308729
0.56175095,0.46012008
0.529423,0.4218272
0.51201415,0.5322963
0.48743278,0.48025024
0.727929,0.51406384
0.8348161,0.5572024
0.5572248,0.5303923
0.46320736,0.4825657
0.76328707,0.62891215
0.5572248,0.5303923
0.7673622,0.5710732
0.6666105,0.6627136
0.679482,0.5710732
0.8337298,0.7379537
0.52528656,0.5342622
0.4178596,0.50462663
0.4178596,0.44681624
0.55757725,0.52327836
0.4178596,0.44681624
0.4178596,0.45992997
0.4974854,0.4412403
0.54754305,0.49458212
0.4178596,0.48607692
0.69915986,0.6328709
0.66660863,0.35660613
0.69915986,0.5596522
0.69915986,0.5596522
0.58818775,0.5596522
0.6551374,0.5838212
0.6759374,0.5838212
0.58818775,0.48334062
0.5044473,0.51855993
0.69915986,0.53149664
0.62277436,0.51881075
0.6892948,0.631171
0.82045496,0.5860265
0.6313371,0.51881075
0.6892948,0.44923252
0.74675703,0.51881075
0.82045496,0.85773706
0.61913085,0.3952276
0.62889796,0.6299758
0.5755083,0.51881075
0.6639582,0.4877913
0.7509396,0.5177664
0.5230486,0.56386054
0.7651902,0.5482139
0.6639582,0.5482139
0.67768997,0.49301362
0.5230486,0.5482139
0.7036751,0.5482139
0.71795785,0.6457097
0.5364476,0.5482139
0.6296663,0.37501776
0.45570272,0.5511859
0.5986405,0.4846619
0.47388837,0.40924442
0.46560416,0.3987952
0.4768877,0.51830864
0.5363404,0.52516323
0.5020428,0.5741209
0.46560416,0.3987952
0.53221333,0.4271168
0.6469159,0.6061016
0.53529257,0.519266
0.61808926,0.42276895
0.6966565,0.42186517
0.5415262,0.41998926
0.60304964,0.5749812
0.6966565,0.63311356
0.6966565,0.5079612
0.53529257,0.5920018
0.5415262,0.36270988
0.56821865,0.48155987
0.59268904,0.5501006
0.5596985,0.4081393
0.6363727,0.53059804
0.5596985,0.36166123
0.56821865,0.4845663
0.6704161,0.54475796
0.73165184,0.48455366
0.56821865,0.52538544
0.48384753,0.4723509
0.6081733,0.5599992
0.7682941,0.49764413
0.54686254,0.41923782
0.49327564,0.4940656
0.57514024,0.5521442
0.58726954,0.5297754
0.50214803,0.5521442
0.54686254,0.44634098
0.4101273,0.5607504
0.68933344,0.46861202
0.6342783,0.6241621
0.47521335,0.44307435
0.6342783,0.59836555
0.66314816,0.6909073
0.7165589,0.47869223
0.64308584,0.51823497
0.6285985,0.71149814
0.6342783,0.57230735
0.6659534,0.47464442
0.52350086,0.50313306
0.3739121,0.41390526
0.46381664,0.4218689
0.6461981,0.5070664
0.46381664,0.5614958
0.5318068,0.5127864
0.5027969,0.50640893
0.4560176,0.52009904
0.44318473,0.5070664
0.4560176,0.40626705
0.4774008,0.40290394
0.6475281,0.4135035
0.45137662,0.38355708
0.777449,0.5034539
0.6041081,0.4584502
0.73918355,0.71125627
0.73577857,0.45802265
0.6674706,0.6401532
0.6475281,0.71999323
0.79477227,0.50111926
0.79477227,0.4135035
0.6528192,0.6142506
0.80140555,0.44354752
0.6391415,0.58177865
0.5653663,0.58177865
0.6528192,0.6148647
0.58098817,0.52040476
0.6094006,0.6417686
0.6391415,0.58446604
0.48910514,0.4758659
0.6203767,0.6307914
0.7189052,0.86530125
0.62191516,0.5563022
0.60665786,0.60538745
0.6578729,0.5389523
0.68749726,0.4651983
